Fox_ID,Year,Julian_day,Distance_traveled,Prop_active
926007,2018,179,37879.0229619418,0.540189873417722
926007,2018,180,33943.4470730176,0.470977917981073
926007,2018,181,40334.9252292207,0.56403785488959
926007,2018,182,48423.9736535858,0.506309148264984
926007,2018,183,42012.5274613153,0.576357827476038
926007,2018,184,32098.4646720947,0.453312302839117
926007,2018,185,25678.6406123112,0.367721518987342
926007,2018,186,17448.8072676846,0.379430379746835
926007,2018,187,32886.7700951665,0.604444444444444
926007,2018,188,41549.5954073117,0.608571428571429
926007,2018,189,42344.8951002963,0.575949367088608
926007,2018,190,22883.2324572877,0.302341137123746
926007,2018,191,49823.2585255089,0.59968152866242
926007,2018,192,45246.2880164428,0.548895899053628
926007,2018,193,42541.4746085358,0.548264984227129
926007,2018,194,33170.6129729869,0.438141025641026
926007,2018,195,38459.8254224216,0.482334384858044
926006,2018,181,58601.5071775428,0.612643678160919
926006,2018,182,49424.2170079149,0.535331230283912
926006,2018,183,56346.1298692912,0.487974683544304
926006,2018,184,58217.4752500052,0.500949367088608
926006,2018,185,56581.0260429917,0.49179810725552
926006,2018,186,60866.6322840935,0.549842271293375
926006,2018,187,63266.7743677551,0.536277602523659
926006,2018,188,63623.584095113,0.580441640378549
926006,2018,189,62957.8494247509,0.553627760252366
926006,2018,190,71376.8739059353,0.541533546325879
926006,2018,191,74029.8583403396,0.617350157728707
926006,2018,192,67747.149530588,0.537854889589905
926006,2018,193,63873.5412426796,0.660191082802548
926006,2018,194,60753.1795245847,0.486392405063291
926006,2018,195,63494.6188346449,0.65205047318612
926004,2018,183,48107.5437266716,0.509779179810726
926004,2018,184,60034.5817125145,0.606624605678233
926004,2018,185,57593.1617829253,0.575
926004,2018,186,59142.2521786464,0.603470031545741
926004,2018,187,49441.1063956063,0.548264984227129
926004,2018,188,56116.8639420482,0.623028391167192
926004,2018,189,45688.8452799787,0.488253968253968
926004,2018,190,46647.7451735173,0.466666666666667
926004,2018,191,62731.9057138603,0.691772151898734
926004,2018,192,51592.0463911483,0.57015873015873
926004,2018,193,51473.2273621898,0.560952380952381
926004,2018,194,46591.2457347528,0.492405063291139
926004,2018,195,52162.7862173461,0.689240506329114
926003,2018,187,34757.8290012501,0.718037974683544
926003,2018,188,36903.1316024289,0.614285714285714
926003,2018,189,37519.9962342162,0.688993710691824
926003,2018,190,36121.5704040823,0.501273885350318
926003,2018,191,54976.4746514967,0.713880126182965
926003,2018,192,50337.076888562,0.654258675078864
926003,2018,193,42814.8642904292,0.573968253968254
926003,2018,194,42538.6150664471,0.520253164556962
926003,2018,195,47528.3304483211,0.722082018927445
926008,2018,187,32897.6098226397,0.438412698412698
926008,2018,188,30985.8871710553,0.512302839116719
926008,2018,189,48274.2939127709,0.512698412698413
926008,2018,190,38253.423733425,0.365705128205128
926008,2018,191,34892.7888380533,0.530573248407643
926008,2018,192,30604.8731790507,0.423028391167192
926008,2018,193,30546.941337267,0.40031746031746
926008,2018,194,29076.7272414569,0.395886075949367
926008,2018,195,35662.6164092683,0.60926517571885
926002,2018,181,53038.3016892453,0.616403785488959
926002,2018,182,58049.5470098983,0.614826498422713
926002,2018,183,44050.4569696569,0.481012658227848
926002,2018,184,55735.3028723565,0.601577287066246
926002,2018,185,49405.2166358126,0.438801261829653
926002,2018,186,58329.9852605243,0.662658227848101
926002,2018,187,68089.2954863922,0.670662460567823
926002,2018,188,54774.6818157503,0.606012658227848
926002,2018,189,49504.6383334849,0.509148264984227
926002,2018,190,48086.6565950122,0.492948717948718
926002,2018,191,60088.0465223297,0.586392405063291
926002,2018,192,51051.540966989,0.50410094637224
926002,2018,193,56133.6521645282,0.581645569620253
926002,2018,194,43434.1538495983,0.410126582278481
926002,2018,195,58987.226791779,0.691482649842271
926005,2018,181,48493.5481779941,0.596428571428571
926005,2018,182,51447.6050286457,0.575078864353312
926005,2018,183,50635.6546296584,0.583860759493671
926005,2018,184,50895.1347115405,0.625949367088608
926005,2018,185,50478.6881785465,0.516719242902208
926005,2018,186,56805.0689458051,0.587735849056604
926005,2018,187,52656.3291906764,0.576582278481013
926005,2018,188,46968.0631135244,0.539116719242902
926005,2018,189,52127.807881614,0.540822784810127
926005,2018,190,65002.1991788488,0.52
926005,2018,191,60081.1629546215,0.566242038216561
926005,2018,192,56306.9063427773,0.581329113924051
926005,2018,193,60288.7684019584,0.630914826498423
926005,2018,194,50213.5651359496,0.468670886075949
926005,2018,195,56956.5724067706,0.583596214511041
926009,2018,181,55549.9593675831,0.630379746835443
926009,2018,182,57429.6336438942,0.671428571428571
926009,2018,183,55676.5333825006,0.564556962025316
926009,2018,184,57136.2602363326,0.648264984227129
926009,2018,185,50012.069114543,0.553312302839117
926009,2018,186,57951.461517729,0.656410256410256
926009,2018,187,55041.1777000755,0.698730158730159
926009,2018,188,57377.6266192084,0.583280757097792
926009,2018,189,62140.0073596846,0.666981132075472
926009,2018,190,52073.3514001444,0.576282051282051
