Year,Farm,YearFarmNB,wing,BD,AG,MAX,RN,HD,WT,FDM,Comp.1,Comp.2
2014,1,2014_01_02,46.06,0.906903009,ASY,-0.594025272,1.464852213,0.176729297,-0.568099556,1.145030123,1.890410036,1.171511361
2009,1,2009_01_02,44.88,0.906903009,ASY,-0.965059251,-0.300944039,-1.400119818,-0.568099556,1.062653384,1.850624492,0.517754245
2014,1,2014_01_02,46.51,0.906903009,ASY,-0.594025272,1.464852213,0.176729297,-0.568099556,1.145030123,1.890410036,1.171511361
2008,1,2008_01_02,34.78,-0.578582239,ASY,0.375557281,-0.345088945,-1.203013679,-0.568099556,-0.355325683,2.320150972,0.903748429
2012,1,2012_01_03,46.6,-0.028402518,ASY,0.599103599,-1.12498229,-1.203013679,-0.571875746,1.515774224,1.699746906,0.838040612
2008,1,2008_01_03,57.98,-0.028402518,ASY,0.508494588,-0.448093727,-0.8088014,-0.571875746,-0.221536261,2.320150972,0.903748429
2009,1,2009_01_03,52.93,-0.028402518,ASY,-1.064266197,-0.183224289,-1.005907539,-0.571875746,1.365111837,1.850624492,0.517754245
2013,1,2013_01_03,50.83,0.906903009,ASY,-0.021270504,0.331799618,0.373835436,-0.571875746,0.307897495,2.462671894,2.231903148
2013,1,2013_01_03,48.25,0.906903009,ASY,-0.021270504,0.331799618,0.373835436,-0.571875746,0.307897495,2.462671894,2.231903148
2009,1,2009_01_03,52.35,-0.028402518,ASY,-1.064266197,-0.183224289,-1.005907539,-0.571875746,1.365111837,1.850624492,0.517754245
2012,1,2012_01_03,46.86,-0.028402518,ASY,0.599103599,-1.12498229,-1.203013679,-0.571875746,1.515774224,1.699746906,0.838040612
2009,1,2009_01_03,50.82,-0.028402518,ASY,-1.064266197,-0.183224289,-1.005907539,-0.571875746,1.365111837,1.850624492,0.517754245
2007,1,2007_01_03,44.98,-0.963708045,ASY,1.180456303,-0.389233852,-0.8088014,-0.571875746,-0.580953932,1.360847608,0.080689682
2008,1,2008_01_03,59.57,-0.028402518,ASY,0.508494588,-0.448093727,-0.8088014,-0.571875746,-0.221536261,2.320150972,0.903748429
2011,1,2011_01_03,56.81,-1.899013571,ASY,0.754527815,-1.24270204,-0.611695261,-0.571875746,-0.121941975,2.551714255,1.693722891
2007,1,2007_01_03,48.39,-0.963708045,ASY,1.180456303,-0.389233852,-0.8088014,-0.571875746,-0.580953932,1.360847608,0.080689682
2008,1,2008_01_03,56.14,-0.028402518,ASY,0.508494588,-0.448093727,-0.8088014,-0.571875746,-0.221536261,2.320150972,0.903748429
2013,1,2013_01_03,44.04,0.906903009,ASY,-0.021270504,0.331799618,0.373835436,-0.571875746,0.307897495,2.462671894,2.231903148
2007,1,2007_01_03,51.39,-0.963708045,ASY,1.180456303,-0.389233852,-0.8088014,-0.571875746,-0.580953932,1.360847608,0.080689682
2012,1,2012_01_03,48.61,-0.028402518,ASY,0.599103599,-1.12498229,-1.203013679,-0.571875746,1.515774224,1.699746906,0.838040612
2013,1,2013_01_03,46.81,0.906903009,ASY,-0.021270504,0.331799618,0.373835436,-0.571875746,0.307897495,2.462671894,2.231903148
2007,1,2007_01_03,47.28,-0.963708045,ASY,1.180456303,-0.389233852,-0.8088014,-0.571875746,-0.580953932,1.360847608,0.080689682
2012,1,2012_01_03,48.36,-0.028402518,ASY,0.599103599,-1.12498229,-1.203013679,-0.571875746,1.515774224,1.699746906,0.838040612
2013,1,2013_01_03,47.27,0.906903009,ASY,-0.021270504,0.331799618,0.373835436,-0.571875746,0.307897495,2.462671894,2.231903148
2011,1,2011_01_03,57.22,-1.899013571,ASY,0.754527815,-1.24270204,-0.611695261,-0.571875746,-0.121941975,2.551714255,1.693722891
2014,1,2014_01_03,49.13,-1.899013571,ASY,-0.296404434,0.846823525,-0.611695261,-0.571875746,0.886980891,1.890410036,1.171511361
2011,1,2011_01_03,54.42,-1.899013571,ASY,0.754527815,-1.24270204,-0.611695261,-0.571875746,-0.121941975,2.551714255,1.693722891
2008,1,2008_01_03,54.46,-0.028402518,ASY,0.508494588,-0.448093727,-0.8088014,-0.571875746,-0.221536261,2.320150972,0.903748429
2012,1,2012_01_03,32.94,-0.028402518,ASY,0.599103599,-1.12498229,-1.203013679,-0.571875746,1.515774224,1.699746906,0.838040612
2014,1,2014_01_03,48.6,-1.899013571,ASY,-0.296404434,0.846823525,-0.611695261,-0.571875746,0.886980891,1.890410036,1.171511361
2009,1,2009_01_03,50.02,-0.028402518,ASY,-1.064266197,-0.183224289,-1.005907539,-0.571875746,1.365111837,1.850624492,0.517754245
2013,1,2013_01_03,48.31,0.906903009,ASY,-0.021270504,0.331799618,0.373835436,-0.571875746,0.307897495,2.462671894,2.231903148
2014,1,2014_01_03,50.06,-1.899013571,ASY,-0.296404434,0.846823525,-0.611695261,-0.571875746,0.886980891,1.890410036,1.171511361
2008,1,2008_01_03,53.05,-0.028402518,ASY,0.508494588,-0.448093727,-0.8088014,-0.571875746,-0.221536261,2.320150972,0.903748429
2009,1,2009_01_03,52.98,-0.028402518,ASY,-1.064266197,-0.183224289,-1.005907539,-0.571875746,1.365111837,1.850624492,0.517754245
2014,1,2014_01_04,52.88,-0.028402518,ASY,-0.39561138,1.288272588,-1.005907539,-0.571802352,0.753597991,1.890410036,1.171511361
2013,1,2013_01_04,29.02,-0.688618184,ASY,-1.543369608,0.30236968,-1.597225958,-0.571802352,0.606531391,2.462671894,2.231903148
2013,1,2013_01_04,23.34,-0.688618184,ASY,-1.543369608,0.30236968,-1.597225958,-0.571802352,0.606531391,2.462671894,2.231903148
2014,1,2014_01_04,53.97,-0.028402518,ASY,-0.39561138,1.288272588,-1.005907539,-0.571802352,0.753597991,1.890410036,1.171511361
2007,1,2007_01_04,50.26,0.906903009,ASY,1.743290377,-1.301561915,-0.414589121,-0.571802352,-0.518903525,1.360847608,0.080689682
2007,1,2007_01_04,48.6,0.906903009,ASY,1.743290377,-1.301561915,-0.414589121,-0.571802352,-0.518903525,1.360847608,0.080689682
2010,1,2010_01_04,45.4,-0.028402518,ASY,-1.451173286,0.6702439,-0.8088014,-0.571802352,0.586306845,2.518344944,1.709280416
2008,1,2008_01_04,54.93,-0.028402518,ASY,0.508494588,-0.448093727,-0.8088014,-0.571802352,-0.221536261,2.320150972,0.903748429
2012,1,2012_01_04,44.16,0.906903009,ASY,2.318029285,-1.419281665,-0.020376842,-0.571802352,1.174620933,1.699746906,0.838040612
2010,1,2010_01_04,44.42,-0.028402518,ASY,-1.451173286,0.6702439,-0.8088014,-0.571802352,0.586306845,2.518344944,1.709280416
2007,1,2007_01_04,48.98,0.906903009,ASY,1.743290377,-1.301561915,-0.414589121,-0.571802352,-0.518903525,1.360847608,0.080689682
2007,1,2007_01_04,49.74,0.906903009,ASY,1.743290377,-1.301561915,-0.414589121,-0.571802352,-0.518903525,1.360847608,0.080689682
2014,1,2014_01_04,48.02,-0.028402518,ASY,-0.39561138,1.288272588,-1.005907539,-0.571802352,0.753597991,1.890410036,1.171511361
2012,1,2012_01_04,48.42,0.906903009,ASY,2.318029285,-1.419281665,-0.020376842,-0.571802352,1.174620933,1.699746906,0.838040612
