id_chipmunk;laboratory;date_analysis;date_hairsample;site;sex;age;year;year_mast;season;body_mass;d15N;d13C;d15N_corrected;d13C_corrected;mean_Blup_exploration;type_explo
J078;KOSI;2015;07/07/2014;1;F;1;2014;Non-Mast;summer;98 67;3 6;-22 88;3 6;-22 88;-3 12;slow
J084;KOSI;2015;04/07/2014;1;F;0;2014;Non-Mast;summer;82 4;2 49;-22 52;2 49;-22 52;-3 85;slow
J088;KOSI;2015;03/07/2014;2;M;1;2014;Non-Mast;summer;108;3 23;-22 24;3 23;-22 24;1 49;inter
J091;KOSI;2015;03/07/2014;2;F;0;2014;Non-Mast;summer;74 5;2 11;-23 15;2 11;-23 15;-4 23;inter
J095;KOSI;2015;14/06/2014;2;M;0;2014;Non-Mast;spring;67 5;1 82;-23 25;1 82;-23 25;10 42;fast
J095;KOSI;2015;03/07/2014;2;M;0;2014;Non-Mast;summer;77 75;1 6;-23 3;1 6;-23 3;10 42;fast
J130;KOSI;2015;17/06/2014;3;M;1;2014;Non-Mast;spring;80;1 16;-21 93;1 16;-21 93;9 28;inter
J136;KOSI;2015;20/06/2014;3;F;1;2014;Non-Mast;spring;81;3 17;-22 74;3 17;-22 74;-12 38;slow
J136;KOSI;2015;06/07/2014;3;F;1;2014;Non-Mast;summer;91 5;3 12;-22 85;3 12;-22 85;-12 38;slow
H068;KOSI;2015;11/07/2014;3;F;3;2014;Non-Mast;summer;93;2 14;-22 32;2 14;-22 32;-3 29;slow
H072;KOSI;2015;11/07/2014;3;F;3;2014;Non-Mast;summer;97;2 12;-22 38;2 12;-22 38;-7 21;inter
I054;KOSI;2015;14/07/2014;1;M;2;2014;Non-Mast;summer;91;3 36;-23 25;3 36;-23 25;1 28;slow
J130;KOSI;2015;11/07/2014;3;M;1;2014;Non-Mast;summer;90;1 34;-21 78;1 34;-21 78;9 28;inter
J020;GEOTOP;2017;04/05/2016;1;M;3;2016;Non-Mast;spring;85 67;7 37;-23 31;6 8;-22 93;11 04;inter
J043;GEOTOP;2017;04/05/2016;1;F;3;2016;Non-Mast;spring;91;3 74;-22 07;3 17;-21 69;15 34;fast
J054;GEOTOP;2017;14/05/2015;1;F;2;2015;Mast;spring;87;4 43;-23 46;3 86;-23 08;7 06;inter
J043;GEOTOP;2017;14/05/2015;1;F;2;2015;Mast;spring;87 67;n/a;n/a;n/a;n/a;15 34;fast
L001;GEOTOP;2017;05/05/2016;2;F;1;2016;Non-Mast;spring;82 67;n/a;n/a;n/a;n/a;-20 56;slow
I016;GEOTOP;2017;15/05/2015;2;M;3;2015;Mast;spring;98;6 43;-23 36;5 86;-22 98;1 53;inter
J017;GEOTOP;2017;06/05/2016;1;F;3;2016;Non-Mast;spring;82;2 95;-21 73;2 38;-21 35;24 33;fast
J004;GEOTOP;2017;06/05/2016;1;F;3;2016;Non-Mast;spring;90;2 66;-22 5;2 09;-22 12;10 87;inter
J080;GEOTOP;2017;10/05/2016;1;F;3;2016;Non-Mast;spring;88;2 92;-21 85;2 35;-21 47;-13 27;slow
J019;GEOTOP;2017;10/05/2016;1;F;3;2016;Non-Mast;spring;83;3 55;-22 51;2 98;-22 13;20 79;fast
J032;GEOTOP;2017;11/05/2016;2;M;3;2016;Non-Mast;spring;101;4 94;-22 92;4 37;-22 54;11 79;fast
J032;GEOTOP;2017;21/05/2015;2;M;2;2015;Mast;spring;92;3 55;-23 54;2 98;-23 16;11 79;fast
