id_chipmunk;laboratory;date_analysis;date_hairsample;site;sex;age;year;year_mast;season;body_mass;d15N;d13C;d15N_corrected;d13C_corrected;mean_Blup_exploration;type_explo
H062;KOSI;2015;21/06/2013;3;F;2;2013;Mast;spring;n/a;3 04;-23 23;3 04;-23 23;1 97;inter
H063;KOSI;2015;20/06/2013;3;F;n/a;2013;Mast;spring;89 5;2 13;-23 99;2 13;-23 99;8 91;inter
H072;KOSI;2015;20/06/2013;3;F;2;2013;Mast;spring;85 33;2 55;-23 77;2 55;-23 77;-7 21;inter
H073;KOSI;2015;20/06/2013;3;M;2;2013;Mast;spring;91;2 08;-22 19;2 08;-22 19;-6 89;slow
I027;KOSI;2015;10/06/2013;2;F;1;2013;Mast;spring;88;3 26;-23 11;3 26;-23 11;-6 47;slow
I037;KOSI;2015;23/06/2013;1;F;1;2013;Mast;spring;96;3 88;-23 69;3 88;-23 69;-10 91;slow
I043;KOSI;2015;26/06/2013;2;M;1;2013;Mast;spring;91;2 95;-24 71;2 95;-24 71;-16 63;slow
I050;KOSI;2013;29/06/2013;2;F;1;2013;Mast;spring;100;3 95;-23 27;3 95;-23 27;1 3;inter
H003;KOSI;2015;05/08/2013;1;M;2;2013;Mast;summer;94;2 15;-22 89;2 15;-22 89;-10 85;slow
I011;KOSI;2015;06/08/2013;1;M;1;2013;Mast;summer;87 33;2 32;-22 82;2 32;-22 82;3 42;slow
I053;KOSI;2015;16/07/2013;1;M;1;2013;Mast;summer;89;4 83;-23 4;4 83;-23 4;-9 96;slow
I054;KOSI;2015;06/08/2013;1;M;1;2013;Mast;summer;84 67;2 12;-23 38;2 12;-23 38;1 28;slow
F023;KOSI;2015;28/08/2013;1;F;2;2013;Mast;summer;105;3 59;-22 88;3 59;-22 88;11 1;fast
H002;KOSI;2015;17/08/2013;1;F;2;2013;Mast;summer;88 67;2 88;-23 22;2 88;-23 22;7 48;inter
H042;KOSI;2015;10/08/2013;1;M;2;2013;Mast;summer;94 4;1 18;-21 33;1 18;-21 33;4 38;inter
H058;KOSI;2015;23/08/2013;3;F;1;2013;Mast;summer;n/a;0 74;-22 4;0 74;-22 4;-0 28;inter
H062;KOSI;2015;10/08/2013;3;F;2;2013;Mast;summer;105;0 95;-21 43;0 95;-21 43;1 97;inter
H063;KOSI;2015;23/08/2013;3;F;n/a;2013;Mast;summer;101;1 53;-21 75;1 53;-21 75;8 91;inter
H068;KOSI;2015;23/08/2013;3;F;2;2013;Mast;summer;90;2 17;-22 7;2 17;-22 7;-3 29;slow
H072;KOSI;2015;23/08/2013;3;F;2;2013;Mast;summer;90 5;1 72;-21 36;1 72;-21 36;-7 21;inter
H073;KOSI;2015;23/08/2013;3;M;2;2013;Mast;summer;92;0 45;-21 96;0 45;-21 96;-6 89;slow
H091;KOSI;2013;18/08/2013;2;M;2;2013;Mast;summer;98 25;5 44;-22 72;5 44;-22 72;2 34;inter
I002;KOSI;2013;12/08/2013;2;F;1;2013;Mast;summer;92 75;3 65;-22 69;3 65;-22 69;3 84;inter
I003;KOSI;2013;11/08/2013;2;F;1;2013;Mast;summer;100 17;3 63;-23 63;3 63;-23 63;-4 63;slow
I004;KOSI;2013;12/08/2013;2;F;1;2013;Mast;summer;82 91;3 15;-23 75;3 15;-23 75;-12 64;slow
I005;KOSI;2013;11/08/2013;2;M;1;2013;Mast;summer;108;2 81;-22 65;2 81;-22 65;4 4;fast
I006;KOSI;2013;12/08/2013;2;M;1;2013;Mast;summer;96 67;3 22;-22 58;3 22;-22 58;-13 72;slow
I007;KOSI;2013;18/08/2013;2;M;1;2013;Mast;summer;106;4 43;-21 53;4 43;-21 53;13 33;fast
I009;KOSI;2013;16/08/2013;2;F;1;2013;Mast;summer;n/a;2 53;-21 59;2 53;-21 59;-15 48;slow
I009;KOSI;2015;19/08/2013;2;F;1;2013;Mast;summer;n/a;2 53;-21 59;2 53;-21 59;-15 48;slow
I013;KOSI;2013;12/08/2013;2;M;1;2013;Mast;summer;95;3 41;-23 39;3 41;-23 39;-6 59;slow
I015;KOSI;2013;16/08/2013;2;F;1;2013;Mast;summer;89 11;2 8;-23 3;2 8;-23 3;12 57;fast
I022;KOSI;2013;07/09/2013;2;F;1;2013;Mast;summer;88;3;-23 39;3;-23 39;-3 57;slow
I027;KOSI;2015;30/08/2013;2;F;1;2013;Mast;summer;94;2 29;-21 31;2 29;-21 31;-6 47;slow
I050;KOSI;2013;07/09/2013;2;F;1;2013;Mast;summer;n/a;3 63;-22 82;3 63;-22 82;1 3;inter
H003;KOSI;2015;18/05/2014;1;M;3;2014;Non-Mast;spring;84 5;2 61;-21 83;2 61;-21 83;-10 85;slow
H005;KOSI;2015;21/05/2014;1;M;3;2014;Non-Mast;spring;100;2 95;-21 9;2 95;-21 9;-6 91;slow
H042;KOSI;2015;23/05/2014;1;M;3;2014;Non-Mast;spring;98;2 35;-22 28;2 35;-22 28;4 38;inter
H058;KOSI;2015;25/05/2014;3;F;2;2014;Non-Mast;spring;88;0 76;-22 26;0 76;-22 26;-0 28;inter
H062;KOSI;2015;25/05/2014;3;F;3;2014;Non-Mast;spring;92;2 43;-22 72;2 43;-22 72;1 97;inter
H063;KOSI;2015;20/05/2014;3;F;n/a;2014;Non-Mast;spring;93 67;2 55;-22 83;2 55;-22 83;8 91;inter
H068;KOSI;2015;12/05/2014;3;F;3;2014;Non-Mast;spring;88;2 39;-22 32;2 39;-22 32;-3 29;slow
H072;KOSI;2015;25/05/2014;3;F;3;2014;Non-Mast;spring;80 33;2 02;-22 17;2 02;-22 17;-7 21;inter
H073;KOSI;2015;12/05/2014;3;M;3;2014;Non-Mast;spring;89 2;0 52;-22 16;0 52;-22 16;-6 89;slow
I002;KOSI;2015;16/05/2014;2;F;2;2014;Non-Mast;spring;86 67;6 2;-22 07;6 2;-22 07;3 84;inter
I003;KOSI;2015;22/05/2014;2;F;2;2014;Non-Mast;spring;98 33;3 45;-22 91;3 45;-22 91;-4 63;slow
I004;KOSI;2015;14/05/2014;2;F;2;2014;Non-Mast;spring;81;3 26;-22 82;3 26;-22 82;-12 64;slow
I005;KOSI;2015;19/05/2014;2;M;2;2014;Non-Mast;spring;94;6 75;-22 87;6 75;-22 87;4 4;fast
I006;KOSI;2015;29/05/2014;2;M;2;2014;Non-Mast;spring;81;6 11;-22 42;6 11;-22 42;-13 72;slow
I009;KOSI;2015;02/06/2014;2;F;2;2014;Non-Mast;spring;92 67;2 77;-22 46;2 77;-22 46;-15 48;slow
I011;KOSI;2015;01/06/2014;1;M;2;2014;Non-Mast;spring;89 33;2 52;-22 46;2 52;-22 46;3 42;slow
I014;KOSI;2015;29/05/2014;2;F;2;2014;Non-Mast;spring;87;3 29;-24 59;3 29;-24 59;1 17;inter
I016;KOSI;2015;06/06/2014;2;M;2;2014;Non-Mast;spring;100 25;3 42;-22 76;3 42;-22 76;1 53;inter
I037;KOSI;2015;03/06/2014;1;F;2;2014;Non-Mast;spring;93 75;4 1;-22 73;4 1;-22 73;-10 91;slow
I043;KOSI;2015;09/06/2014;2;M;2;2014;Non-Mast;spring;98;2 99;-22 4;2 99;-22 4;-16 63;slow
I053;KOSI;2015;21/05/2014;1;M;2;2014;Non-Mast;spring;91 8;2 39;-21 41;2 39;-21 41;-9 96;slow
I054;KOSI;2015;08/06/2014;1;M;2;2014;Non-Mast;spring;99;1 74;-22 24;1 74;-22 24;1 28;slow
J001;KOSI;2015;25/05/2014;3;F;1;2014;Non-Mast;spring;82 67;2 13;-22 46;2 13;-22 46;-6 59;slow
J002;KOSI;2015;13/05/2014;1;M;1;2014;Non-Mast;spring;87 67;2 9;-22 05;2 9;-22 05;-0 69;slow
J006;KOSI;2015;16/05/2014;2;F;1;2014;Non-Mast;spring;81;3 55;-22 61;3 55;-22 61;9 55;fast
J007;KOSI;2015;18/05/2014;1;F;1;2014;Non-Mast;spring;87;2 47;-22 41;2 47;-22 41;21 68;fast
J008;KOSI;2015;19/05/2014;2;F;1;2014;Non-Mast;spring;85;2 95;-22 26;2 95;-22 26;5 49;fast
J010;KOSI;2015;21/05/2014;1;F;1;2014;Non-Mast;spring;82 5;2 08;-22 05;2 08;-22 05;16 38;fast
J015;KOSI;2015;22/05/2014;2;M;1;2014;Non-Mast;spring;88;2 96;-22 92;2 96;-22 92;20 77;fast
J017;KOSI;2015;22/05/2014;1;F;0;2014;Non-Mast;spring;54;2 78;-22 89;2 78;-22 89;24 33;fast
J019;KOSI;2015;23/05/2014;1;F;1;2014;Non-Mast;spring;79;2 63;-23 5;2 63;-23 5;20 79;fast
