Year,Farm,YearFarmNB,masse16,BD,AG,MAX,RN,HD,WT,FDM,Comp.1,Comp.2
2013,1,2013_01_02,22.9,-1.35412295,ASY,1.028697143,0.083600806,2.338619602,-0.570457641,0.044879612,2.462671894,2.231903148
2009,1,2009_01_02,27.72,0.90005954,ASY,-0.964276865,-0.28773621,-1.404672893,-0.570457641,1.060638334,1.850624492,0.517754245
2014,1,2014_01_02,23.22,0.90005954,ASY,-0.59480513,1.494681465,0.171450263,-0.570457641,1.143228337,1.890410036,1.171511361
2014,1,2014_01_02,20.25,0.90005954,ASY,-0.59480513,1.494681465,0.171450263,-0.570457641,1.143228337,1.890410036,1.171511361
2012,1,2012_01_03,21.55,-0.034601492,ASY,0.593300058,-1.119531125,-1.207657499,-0.57421765,1.51493225,1.699746906,0.838040612
2012,1,2012_01_03,19.64,-0.034601492,ASY,0.593300058,-1.119531125,-1.207657499,-0.57421765,1.51493225,1.699746906,0.838040612
2009,1,2009_01_03,24.43,-0.034601492,ASY,-1.0630661,-0.168908365,-1.010642104,-0.57421765,1.363879816,1.850624492,0.517754245
2012,1,2012_01_03,20.72,-0.034601492,ASY,0.593300058,-1.119531125,-1.207657499,-0.57421765,1.51493225,1.699746906,0.838040612
2013,1,2013_01_03,19.36,0.90005954,ASY,-0.024461952,0.350963457,0.368465657,-0.57421765,0.303928472,2.462671894,2.231903148
2011,1,2011_01_03,20.47,-1.903923558,ASY,0.748069858,-1.23835897,-0.616611315,-0.57421765,-0.127023802,2.551714255,1.693722891
2008,1,2008_01_03,21.53,-0.034601492,ASY,0.503072558,-0.436271016,-0.81362671,-0.57421765,-0.226875926,2.320150972,0.903748429
2009,1,2009_01_03,19.33,-0.034601492,ASY,-1.0630661,-0.168908365,-1.010642104,-0.57421765,1.363879816,1.850624492,0.517754245
2014,1,2014_01_03,21.24,-1.903923558,ASY,-0.298437428,0.870835279,-0.616611315,-0.57421765,0.884511046,1.890410036,1.171511361
2011,1,2011_01_03,21.81,-1.903923558,ASY,0.748069858,-1.23835897,-0.616611315,-0.57421765,-0.127023802,2.551714255,1.693722891
2008,1,2008_01_03,21.67,-0.034601492,ASY,0.503072558,-0.436271016,-0.81362671,-0.57421765,-0.226875926,2.320150972,0.903748429
2008,1,2008_01_03,20.28,-0.034601492,ASY,0.503072558,-0.436271016,-0.81362671,-0.57421765,-0.226875926,2.320150972,0.903748429
2008,1,2008_01_03,21.11,-0.034601492,ASY,0.503072558,-0.436271016,-0.81362671,-0.57421765,-0.226875926,2.320150972,0.903748429
2012,1,2012_01_03,19.92,-0.034601492,ASY,0.593300058,-1.119531125,-1.207657499,-0.57421765,1.51493225,1.699746906,0.838040612
2014,1,2014_01_03,21.21,-1.903923558,ASY,-0.298437428,0.870835279,-0.616611315,-0.57421765,0.884511046,1.890410036,1.171511361
2009,1,2009_01_03,20.23,-0.034601492,ASY,-1.0630661,-0.168908365,-1.010642104,-0.57421765,1.363879816,1.850624492,0.517754245
2013,1,2013_01_03,21.11,0.90005954,ASY,-0.024461952,0.350963457,0.368465657,-0.57421765,0.303928472,2.462671894,2.231903148
2013,1,2013_01_03,18.73,0.90005954,ASY,-0.024461952,0.350963457,0.368465657,-0.57421765,0.303928472,2.462671894,2.231903148
2011,1,2011_01_03,18.82,-1.903923558,ASY,0.748069858,-1.23835897,-0.616611315,-0.57421765,-0.127023802,2.551714255,1.693722891
2008,1,2008_01_03,20.61,-0.034601492,ASY,0.503072558,-0.436271016,-0.81362671,-0.57421765,-0.226875926,2.320150972,0.903748429
2009,1,2009_01_03,23.34,-0.034601492,ASY,-1.0630661,-0.168908365,-1.010642104,-0.57421765,1.363879816,1.850624492,0.517754245
2013,1,2013_01_03,20.7,0.90005954,ASY,-0.024461952,0.350963457,0.368465657,-0.57421765,0.303928472,2.462671894,2.231903148
2014,1,2014_01_03,22.28,-1.903923558,ASY,-0.298437428,0.870835279,-0.616611315,-0.57421765,0.884511046,1.890410036,1.171511361
2009,1,2009_01_03,22.95,-0.034601492,ASY,-1.0630661,-0.168908365,-1.010642104,-0.57421765,1.363879816,1.850624492,0.517754245
2013,1,2013_01_03,22.57,0.90005954,ASY,-0.024461952,0.350963457,0.368465657,-0.57421765,0.303928472,2.462671894,2.231903148
2013,1,2013_01_03,23.03,0.90005954,ASY,-0.024461952,0.350963457,0.368465657,-0.57421765,0.303928472,2.462671894,2.231903148
2012,1,2012_01_03,20.16,-0.034601492,ASY,0.593300058,-1.119531125,-1.207657499,-0.57421765,1.51493225,1.699746906,0.838040612
2008,1,2008_01_04,20,-0.034601492,ASY,0.503072558,-0.436271016,-0.81362671,-0.57414457,-0.226875926,2.320150972,0.903748429
2014,1,2014_01_04,21.76,-0.034601492,ASY,-0.397226662,1.316439698,-1.010642104,-0.57414457,0.750782833,1.890410036,1.171511361
2008,1,2008_01_04,18.77,-0.034601492,ASY,0.503072558,-0.436271016,-0.81362671,-0.57414457,-0.226875926,2.320150972,0.903748429
2009,1,2009_01_04,22.55,-1.903923558,SY,0.352912922,1.093637488,1.35354263,-0.57414457,1.796467032,1.850624492,0.517754245
2012,1,2012_01_04,18.38,0.90005954,ASY,2.304988187,-1.416600738,-0.025565132,-0.57414457,1.172895754,1.699746906,0.838040612
2010,1,2010_01_04,23.15,-0.034601492,ASY,-1.448344112,0.692593511,-0.81362671,-0.57414457,0.583058591,2.518344944,1.709280416
2014,1,2014_01_04,22.09,-0.034601492,ASY,-0.397226662,1.316439698,-1.010642104,-0.57414457,0.750782833,1.890410036,1.171511361
2014,1,2014_01_04,20.32,-0.034601492,ASY,-0.397226662,1.316439698,-1.010642104,-0.57414457,0.750782833,1.890410036,1.171511361
2012,1,2012_01_04,17.02,0.90005954,ASY,2.304988187,-1.416600738,-0.025565132,-0.57414457,1.172895754,1.699746906,0.838040612
2008,1,2008_01_04,18.26,-0.034601492,ASY,0.503072558,-0.436271016,-0.81362671,-0.57414457,-0.226875926,2.320150972,0.903748429
2007,1,2007_01_04,19.73,0.90005954,ASY,1.732669225,-1.297772893,-0.419595921,-0.57414457,-0.525013038,1.360847608,0.080689682
2010,1,2010_01_04,20.3,-0.034601492,ASY,-1.448344112,0.692593511,-0.81362671,-0.57414457,0.583058591,2.518344944,1.709280416
2007,1,2007_01_04,20.61,0.90005954,ASY,1.732669225,-1.297772893,-0.419595921,-0.57414457,-0.525013038,1.360847608,0.080689682
2012,1,2012_01_04,17.77,0.90005954,ASY,2.304988187,-1.416600738,-0.025565132,-0.57414457,1.172895754,1.699746906,0.838040612
2013,1,2013_01_04,16.92,-0.694362221,ASY,-1.540152241,0.321256496,-1.601688288,-0.57414457,0.603335495,2.462671894,2.231903148
2010,1,2010_01_04,22.51,-0.034601492,ASY,-1.448344112,0.692593511,-0.81362671,-0.57414457,0.583058591,2.518344944,1.709280416
2008,1,2008_01_04,19.86,-0.034601492,ASY,0.503072558,-0.436271016,-0.81362671,-0.57414457,-0.226875926,2.320150972,0.903748429
2012,1,2012_01_04,17.4,0.90005954,ASY,2.304988187,-1.416600738,-0.025565132,-0.57414457,1.172895754,1.699746906,0.838040612
2012,1,2012_01_04,16.8,0.90005954,ASY,2.304988187,-1.416600738,-0.025565132,-0.57414457,1.172895754,1.699746906,0.838040612
2010,1,2010_01_04,22.33,-0.034601492,ASY,-1.448344112,0.692593511,-0.81362671,-0.57414457,0.583058591,2.518344944,1.709280416
2007,1,2007_01_04,19.93,0.90005954,ASY,1.732669225,-1.297772893,-0.419595921,-0.57414457,-0.525013038,1.360847608,0.080689682
2007,1,2007_01_04,22.67,0.90005954,ASY,1.732669225,-1.297772893,-0.419595921,-0.57414457,-0.525013038,1.360847608,0.080689682
2013,1,2013_01_04,21.44,-0.694362221,ASY,-1.540152241,0.321256496,-1.601688288,-0.57414457,0.603335495,2.462671894,2.231903148
