Year,Farm,FarmNB,noisnes,noisenvol,HD,AG,NN,MAX,RN,WT,FDM,Comp.1,Comp.2
2015,35,35_05,5,5,-0.850665733,ASY,0.132036729,-1.417150751,0.079495001,-0.546043712,-0.651301427,1.239944843,1.418660089
2006,35,35_05,6,0,-0.850665733,ASY,0.917220666,-0.742225062,1.998664158,-0.546043712,0.183924981,-0.016855188,-0.363541269
2016,35,35_05,3,1,-1.024164593,ASY,-1.438331144,-1.720399112,-0.140515573,-0.546043712,-1.086467462,1.018752476,1.004129082
2011,35,35_05,7,0,0.363826286,ASY,1.702404603,-0.214241573,-1.22364455,-0.546043712,0.482668544,0.601685616,-0.017710507
2012,35,35_05,3,3,0.016828566,SY,-1.438331144,1.425172373,-1.22364455,-0.546043712,1.211569606,0.239604075,-0.04115251
2009,35,35_05,6,6,-0.677166873,ASY,0.917220666,-0.829381955,0.181038343,-0.546043712,0.072380727,0.382283935,0.275270231
2008,35,35_06,5,5,-0.330169153,ASY,0.132036729,0.974981812,-0.56361283,-0.544949118,2.38580978,0.448701576,-0.260522185
2006,35,35_06,5,2,1.231320585,ASY,0.132036729,0.627794852,0.729372387,-0.544949118,1.271469372,-0.016855188,-0.363541269
2011,35,35_06,6,6,0.363826286,ASY,0.917220666,-0.214241573,-1.22364455,-0.544949118,0.482668544,0.601685616,-0.017710507
2013,35,35_06,5,4,-1.371162312,ASY,0.132036729,-2.43940746,0.688755051,-0.544949118,-0.639595714,0.910885476,0.474502323
2009,35,35_06,5,1,-0.677166873,ASY,0.132036729,-0.829381955,0.181038343,-0.544949118,0.072380727,0.382283935,0.275270231
2014,35,35_06,5,5,-1.024164593,ASY,0.132036729,-0.402961456,2.144209615,-0.544949118,-0.01671805,0.044235453,-0.597173996
2007,35,35_06,5,5,0.363826286,ASY,0.132036729,0.524791252,-0.800547293,-0.544949118,0.451671266,-0.266525524,-0.494456384
2016,35,35_07,6,1,-1.024164593,ASY,0.917220666,-1.720399112,-0.140515573,-0.542194376,-1.086467462,1.018752476,1.004129082
2006,35,35_07,5,0,-0.503668013,ASY,0.132036729,-0.670194572,1.998664158,-0.542194376,0.450399178,-0.016855188,-0.363541269
2015,35,35_07,6,6,-1.197663452,ASY,0.917220666,-1.165044037,0.113342781,-0.542194376,-0.705694621,1.239944843,1.418660089
2012,35,35_07,6,6,-1.024164593,ASY,0.917220666,-0.844508358,-0.682080062,-0.542194376,2.755220234,0.239604075,-0.04115251
2009,35,35_07,6,6,2.445812603,ASY,0.917220666,-0.127804985,1.179547869,-0.542194376,0.88602244,0.382283935,0.275270231
2014,35,35_07,2,2,-1.024164593,ASY,-2.22351508,-0.402961456,2.144209615,-0.542194376,-0.01671805,0.044235453,-0.597173996
2006,35,35_08,4,1,1.231320585,SY,-0.653147207,0.627794852,0.729372387,-0.53987792,1.271469372,-0.016855188,-0.363541269
2007,35,35_08,5,5,-0.330169153,ASY,0.132036729,1.645585671,-1.240568441,-0.53987792,-0.549013859,-0.266525524,-0.494456384
2013,35,35_08,5,5,2.445812603,SY,0.132036729,1.098586133,-0.631308391,-0.53987792,-0.620136041,0.910885476,0.474502323
2009,35,35_08,6,6,-0.677166873,ASY,0.917220666,-0.829381955,0.181038343,-0.53987792,0.072380727,0.382283935,0.275270231
2012,35,35_08,4,4,0.016828566,SY,-0.653147207,1.425172373,-1.22364455,-0.53987792,1.211569606,0.239604075,-0.04115251
2008,35,35_08,4,3,0.016828566,ASY,-0.653147207,0.038585446,-0.462069488,-0.53987792,3.360575173,0.448701576,-0.260522185
2008,35,35_09,2,2,1.057821725,SY,-2.22351508,-0.572953411,-0.309754475,-0.538258246,6.254849136,0.448701576,-0.260522185
2010,35,35_09,5,5,0.190327426,ASY,0.132036729,0.082524045,-0.529765049,-0.538258246,0.652716617,0.296053634,-0.291457697
2016,35,35_09,6,2,-0.330169153,ASY,0.917220666,-1.072124705,-1.274416221,-0.538258246,-1.023394947,1.018752476,1.004129082
2014,35,35_09,6,3,-0.330169153,ASY,0.917220666,-0.222885231,2.245752956,-0.538258246,-0.36150324,0.044235453,-0.597173996
2006,35,35_09,5,5,-0.156670294,ASY,0.132036729,-0.16526084,3.433810054,-0.538258246,0.70394756,-0.016855188,-0.363541269
2015,35,35_09,5,5,-0.156670294,ASY,0.132036729,-0.44473914,-0.191287244,-0.538258246,-0.495794352,1.239944843,1.418660089
2015,35,35_10,4,4,0.884322865,ASY,-0.653147207,-0.012556202,-1.240568441,-0.533915507,-0.179432183,1.239944843,1.418660089
2007,35,35_10,4,0,0.016828566,ASY,-0.653147207,1.213402733,-0.800547293,-0.533915507,-0.117587784,-0.266525524,-0.494456384
2015,36,36_01,5,4,1.578318304,ASY,0.132036729,0.383611492,-0.834395074,0.484515905,1.868522174,2.633754376,0.204002373
2016,36,36_01,3,0,-1.024164593,ASY,-1.438331144,-1.528221766,-0.326678366,0.484515905,0.740139153,2.583195863,-0.354075518
2014,36,36_01,4,4,0.016828566,SY,-0.653147207,-0.137889254,0.857993954,0.484515905,1.576909521,2.639829396,0.125490978
2006,36,36_02,4,4,-0.503668013,ASY,-0.653147207,-0.268984745,0.505977036,0.485302405,-0.010329489,2.654267957,0.620618762
2009,36,36_02,4,2,-0.677166873,ASY,-0.653147207,-0.987849032,-0.462069488,0.485302405,-0.065571288,2.544156549,-0.323410668
2016,36,36_02,4,4,0.016828566,ASY,-0.653147207,0.272540477,-1.443655124,0.485302405,0.817048388,2.583195863,-0.354075518
2008,36,36_02,4,4,-0.503668013,ASY,-0.653147207,1.456145483,-0.59746061,0.485302405,1.250645541,2.601189186,0.532200539
2009,36,36_03,5,4,1.751817164,SY,0.132036729,0.795625893,0.62105949,0.485865875,0.504695641,2.544156549,-0.323410668
2016,36,36_03,5,0,0.016828566,ASY,0.132036729,0.272540477,-1.443655124,0.485865875,0.817048388,2.583195863,-0.354075518
