variable	CEN	LAB	NW	SW	all	rank_all
popRFH	0.016288807	0.027883287	0.15755948	0.024769923	0.031438451	2
popRGH	0.035877204	0.036161167	0.112828512	0.058001724	0.041067115	1
st_sep	0.001181701	0.011154476	0.060004245	0.01718628	0.012082309	9
st_oct	0.042373315	0.017011958	0.067117321	0.046224371	0.025498225	5
swe_sep	0.005708846	0.010625274	0.033024232	0.014224681	0.011042077	10
swe_oct	0.011800195	0.016672588	0.029078516	0.013749729	0.016208449	8
pcp_sep	0.025232784	0.026152837	0.031809062	0.01834275	0.025654368	4
pcp_oct	0.020497483	0.018017472	0.065186931	0.017908813	0.020496177	6
ndvi_jul	0.008727555	0.008834726	0.010346787	-0.004050106	0.007944597	12
ndvi_aug	-0.000164331	0.021796334	0.054469336	0.031607283	0.020302025	7
ndvi_sep	0.001850962	0.009508995	0.011868895	0.014868284	0.008749684	11
ndvi_oct	0.005504744	0.025346273	0.065466268	0.074716331	0.027382253	3
popRFH	0.017119462	0.025647959	0.120895258	0.027464353	0.028569397	2
popRGH	0.030071538	0.035362026	0.150867993	0.048417869	0.040484338	1
st_sep	0.002278285	0.010416679	0.062358837	0.016059844	0.011802288	9
st_oct	0.042751799	0.016742902	0.072396429	0.048563363	0.025739911	5
swe_sep	0.006350816	0.010898065	0.032392333	0.016175563	0.011453831	10
swe_oct	0.012309403	0.01684633	0.027015681	0.015494149	0.016450465	8
pcp_sep	0.026504114	0.026629801	0.028432066	0.018165019	0.026035184	4
pcp_oct	0.020632815	0.017097644	0.062010694	0.0191671	0.019763702	6
ndvi_jul	0.008139437	0.009071309	0.011497089	-0.003682085	0.008067361	12
ndvi_aug	-0.001139105	0.020504635	0.055874072	0.0281408	0.019040977	7
ndvi_sep	0.001808401	0.009216	0.012794695	0.01161448	0.008346971	11
ndvi_oct	0.003809441	0.026987008	0.061764917	0.074346656	0.028110425	3
popRFH	0.016822386	0.026691382	0.122772985	0.027901772	0.029406682	2
popRGH	0.02801111	0.034532611	0.15481163	0.05023068	0.039925037	1
st_sep	0.003127709	0.010935908	0.060797576	0.013534387	0.012040506	9
st_oct	0.041017759	0.018008931	0.066420188	0.045645154	0.025935908	5
swe_sep	0.005009137	0.010764559	0.028018038	0.014866822	0.010878605	10
swe_oct	0.014660232	0.01685643	0.029327014	0.015383904	0.016928966	8
pcp_sep	0.026772811	0.027095712	0.029477826	0.01949344	0.026553962	4
pcp_oct	0.021696457	0.017817958	0.059657775	0.016242532	0.020172361	6
ndvi_jul	0.006507793	0.008438174	0.011290267	-0.002616048	0.007445251	12
ndvi_aug	0.000579444	0.02086326	0.058582632	0.027521885	0.019659817	7
ndvi_sep	0.000776107	0.008762915	0.010975859	0.013322972	0.007894562	11
ndvi_oct	0.004461022	0.026576488	0.070456788	0.074575793	0.028329036	3
popRFH	0.013177036	0.025576011	0.156502328	0.020097187	0.028922156	2
popRGH	0.036473265	0.03756562	0.108977721	0.058560012	0.042025532	1
st_sep	0.003164796	0.010011078	0.05862111	0.014196577	0.011335789	9
st_oct	0.042137065	0.017425827	0.06676395	0.045106255	0.025643839	5
swe_sep	0.004547577	0.010727819	0.02763589	0.014710205	0.010775188	10
swe_oct	0.01489294	0.015624322	0.032561815	0.01246039	0.016047687	8
pcp_sep	0.027674951	0.02638176	0.029430856	0.021837203	0.026368166	4
pcp_oct	0.024686148	0.017999464	0.061054103	0.015860459	0.020836075	6
ndvi_jul	0.00696493	0.008638514	0.011081359	-0.003868853	0.007562158	12
ndvi_aug	0.001500292	0.020241416	0.063278813	0.029774629	0.019784054	7
ndvi_sep	0.001107892	0.009207456	0.016595015	0.011858984	0.008403507	11
ndvi_oct	0.003021886	0.025261993	0.074436145	0.076660836	0.02750204	3
popRFH	0.015155696	0.028924019	0.156392391	0.022048844	0.031839878	2
popRGH	0.03798525	0.038600239	0.115852067	0.062281099	0.043580501	1
st_sep	0.002096333	0.01036467	0.063046523	0.016914235	0.011814478	9
st_oct	0.041300078	0.018597394	0.066155866	0.047209523	0.026472234	4
swe_sep	0.005179521	0.010513985	0.029361346	0.014166506	0.01071345	10
swe_oct	0.014146638	0.017371637	0.026244316	0.015930143	0.017125068	8
pcp_sep	0.027400124	0.026373423	0.029784904	0.01681102	0.025999963	5
pcp_oct	0.022389054	0.017426381	0.063787682	0.017689047	0.020302876	6
ndvi_jul	0.007171374	0.008175006	0.011471799	-0.002131377	0.007389899	12
ndvi_aug	0.000306285	0.021557218	0.056553186	0.030254449	0.020232806	7
ndvi_sep	0.003233831	0.008708047	0.014646662	0.014601367	0.008481255	11
ndvi_oct	0.004413714	0.025168781	0.07136163	0.075719197	0.027413506	3
popRFH	0.015109105	0.026341596	0.151283826	0.027166757	0.030033671	2
popRGH	0.033229955	0.038577817	0.121301832	0.053894461	0.042464837	1
st_sep	0.002394628	0.009899145	0.056446429	0.01330402	0.010998659	9
st_oct	0.040886174	0.018035836	0.066198483	0.048997269	0.026204972	5
swe_sep	0.005481696	0.009752552	0.028467042	0.018005614	0.01047692	10
swe_oct	0.014297459	0.01530338	0.032008255	0.01273508	0.01567536	8
