Year,Farm,FarmNB,dur,HD,AG,NN,MAX,RN,WT,FDM,Comp.1,Comp.2
2014,37,37_05,21.5,-0.853701018,ASY,-0.721176175,-0.606612429,0.656335181,0.057231999,-0.037953065,2.715881672,0.989877911
2011,37,37_06,19.5,1.059809187,ASY,-0.721176175,0.452184087,0.205758154,0.06558549,0.581316569,2.39995204,1.272893505
2012,37,37_06,18.5,-0.470998977,ASY,-0.721176175,1.992009139,-1.276785614,0.06558549,2.570867628,2.461775358,1.386237483
2009,37,37_06,19.5,-1.236403059,ASY,0.09791151,-1.066291571,-0.811673844,0.06558549,1.068108805,2.310914996,0.533727303
2014,37,37_06,19.5,-0.088296936,ASY,0.916999195,-0.944199723,0.670869924,0.06558549,0.063155307,2.715881672,0.989877911
2015,37,37_06,19.5,-0.662349998,ASY,0.916999195,-0.478516064,0.758078381,0.06558549,-0.196091987,2.632475012,0.1370667
2007,37,37_07,19.5,0.103054084,ASY,0.09791151,0.796443067,-1.698293156,0.075062143,2.759517416,2.310532553,0.53379371
2006,37,37_07,19.5,1.251160208,ASY,0.09791151,1.320170392,1.479001625,0.075062143,0.396817462,2.229372909,0.012338293
2013,37,37_07,18.5,2.20791531,SY,0.09791151,0.92967663,0.074945468,0.075062143,-0.744577627,2.436229417,0.636181869
2012,37,37_07,17.5,-0.470998977,ASY,-1.540263861,1.992009139,-1.276785614,0.075062143,2.570867628,2.461775358,1.386237483
2015,37,37_07,15.5,0.103054084,ASY,0.09791151,-0.211648637,0.554591981,0.075062143,-0.19555801,2.632475012,0.1370667
2014,37,37_07,22.5,0.677107146,ASY,0.916999195,0.256703697,1.760975635,0.075062143,0.170886516,2.715881672,0.989877911
2008,37,37_07,17.5,-0.662349998,ASY,0.09791151,0.184649492,-0.927951786,0.075062143,0.256572687,2.286689377,0.903402712
2011,37,37_07,19.5,0.294405105,ASY,-0.721176175,0.118599803,0.074945468,0.075062143,0.566791611,2.39995204,1.272893505
2010,37,37_07,17.5,-0.279647957,ASY,-3.178439231,0.989921952,-0.448305273,0.075062143,2.859137295,2.311743427,0.57407817
