farm;nest;year;idbrood;n_fledglings;date_fledgling;recruits;mean_mass;total_fledgling;density.nnich;density.hosp;mean_ext5km;male;female;sex_ratio;ENSO_mo;ENSO_mb
15;05;2018;150520181;3;173;0;22.45;42;10;0;22.75157533;2;1;2;-0.266666667;-0.1
15;06;2018;150620181;7;173;1;20.99428571;42;10;0;22.75555343;3;4;0.75;-0.266666667;-0.1
15;07;2018;150720181;6;181;0;19.275;42;10;0;22.75634905;2;4;0.5;-0.266666667;-0.1
15;08;2018;150820181;5;179;0;18.536;42;10;0;22.77226147;4;1;4;-0.266666667;-0.1
15;10;2018;151020181;4;173;1;23.6175;42;10;0;22.73248043;;5;;-0.266666667;-0.1
16;01;2018;160120181;4;179;0;16.26;23;6;0;27.694768;;2;;-0.266666667;-0.1
16;04;2018;160420181;5;179;0;16.318;23;6;0;27.79262937;1;2;0.5;-0.266666667;-0.1
16;05;2018;160520181;2;183;0;17.28;23;6;0;27.8586659;1;2;0.5;-0.266666667;-0.1
16;06;2018;160620181;7;181;0;20.73285714;23;6;0;27.94857106;4;3;1.333333333;-0.266666667;-0.1
16;08;2018;160820181;5;183;0;20.528;23;6;0;28.03847623;3;2;1.5;-0.266666667;-0.1
17;04;2018;170420181;4;186;0;17.7825;13;3;0;21.03064732;3;1;3;-0.266666667;-0.1
17;05;2018;170520181;5;176;0;22.566;13;3;0;20.97018013;3;2;1.5;-0.266666667;-0.1
17;10;2018;171020181;4;178;0;22.2525;13;3;0;20.76490994;1;3;0.333333333;-0.266666667;-0.1
18;04;2018;180420181;5;177;0;17.796;8;5;0;12.39179556;1;4;0.25;-0.266666667;-0.1
18;06;2018;180620181;3;189;0;21.43333333;8;5;0;12.38861307;2;1;2;-0.266666667;-0.1
19;04;2018;190420181;5;189;0;21.77;5;3;3;24.8591751;1;4;0.25;-0.266666667;-0.1
20;02;2018;200220181;4;177;0;22.1225;8;5;0;35.84192604;;4;;-0.266666667;-0.1
20;06;2018;200620181;4;187;0;24.6075;8;5;0;35.51731271;2;2;1;-0.266666667;-0.1
21;02;2018;210220181;5;176;0;21.946;14;4;0;31.67128127;1;3;0.333333333;-0.266666667;-0.1
21;03;2018;210320181;4;176;1;24.195;14;4;0;31.54796003;2;3;0.666666667;-0.266666667;-0.1
21;05;2018;210520181;5;176;0;21.952;14;4;0;31.42782127;3;2;1.5;-0.266666667;-0.1
22;01;2018;220120182;5;184;0;19.874;30;7;3;29.26373242;2;3;0.666666667;-0.266666667;-0.1
22;02;2018;220220181;4;184;0;19.965;30;7;3;29.1109732;2;3;0.666666667;-0.266666667;-0.1
22;05;2018;220520181;4;180;0;21.9175;30;7;3;28.91127236;1;4;0.25;-0.266666667;-0.1
22;06;2018;220620181;6;182;0;21.89166667;30;7;3;28.80386354;4;2;2;-0.266666667;-0.1
22;07;2018;220720181;6;182;0;20.49166667;30;7;3;28.75851314;3;3;1;-0.266666667;-0.1
22;08;2018;220820181;1;210;0;20.39;30;7;3;28.61689262;;;;-0.266666667;-0.1
22;09;2018;220920181;1;181;0;18.37;30;7;3;28.58029406;3;1;3;-0.266666667;-0.1
22;10;2018;221020181;3;198;0;21.67333333;30;7;3;28.51744001;2;2;1;-0.266666667;-0.1
23;01;2018;230120182;5;182;0;21.944;41;8;0;31.699128;2;3;0.666666667;-0.266666667;-0.1
23;02;2018;230220181;5;176;0;22.978;41;8;0;31.79539813;2;3;0.666666667;-0.266666667;-0.1
23;03;2018;230320181;6;180;0;23.23166667;41;8;0;31.89166826;1;5;0.2;-0.266666667;-0.1
23;05;2018;230520181;3;178;0;25.90666667;41;8;0;32.18923048;1;1;1;-0.266666667;-0.1
23;06;2018;230620182;5;202;0;19.888;41;8;0;32.36426707;3;2;1.5;-0.266666667;-0.1
23;07;2018;230720181;5;182;0;23.19;41;8;0;32.63477818;3;2;1.5;-0.266666667;-0.1
23;08;2018;230820181;5;180;0;23.846;41;8;0;32.78594615;4;1;4;-0.266666667;-0.1
23;10;2018;231020181;1;176;0;21.93;41;8;0;33.10101203;;1;;-0.266666667;-0.1
23;11;2018;231120181;6;176;0;21.97166667;41;8;0;;2;4;0.5;-0.266666667;-0.1
24;04;2018;240420181;5;177;0;20.09;23;8;0;16.29749857;2;3;0.666666667;-0.266666667;-0.1
24;05;2018;240520181;3;177;0;16.79333333;23;8;0;16.25612628;4;2;2;-0.266666667;-0.1
24;06;2018;240620181;3;183;0;17.35;23;8;0;16.23862262;3;1;3;-0.266666667;-0.1
24;07;2018;240720181;4;175;0;22.9625;23;8;0;16.27362994;2;2;1;-0.266666667;-0.1
24;09;2018;240920181;4;175;0;18.2775;23;8;0;16.33409713;1;3;0.333333333;-0.266666667;-0.1
24;10;2018;241020181;4;177;1;20.5625;23;8;0;16.40013366;3;1;3;-0.266666667;-0.1
25;03;2018;250320181;4;175;0;15.0725;7;2;2;10.4409331;;2;;-0.266666667;-0.1
25;10;2018;251020181;3;181;0;23.70333333;7;2;2;10.50458278;;2;;-0.266666667;-0.1
26;03;2018;260320181;5;175;0;22.026;13;4;0;16.70644771;2;2;1;-0.266666667;-0.1
26;04;2018;260420181;3;177;0;17.74333333;13;4;0;16.84806823;;4;;-0.266666667;-0.1
26;07;2018;260720181;1;177;0;21.43;13;4;0;16.98173254;2;3;0.666666667;-0.266666667;-0.1
26;10;2018;261020181;4;177;0;21.285;13;4;0;16.84090764;2;3;0.666666667;-0.266666667;-0.1
27;01;2018;270120181;3;179;0;21.56333333;10;5;1;12.79756222;1;2;0.5;-0.266666667;-0.1
27;03;2018;270320182;1;191;0;21.88;10;5;1;12.88030679;1;;;-0.266666667;-0.1
27;06;2018;270620181;6;181;0;17.50166667;10;5;1;12.89144548;4;2;2;-0.266666667;-0.1
28;01;2018;280120181;6;181;0;21.65166667;39;9;0;16.96025078;2;4;0.5;-0.266666667;-0.1
28;02;2018;280220181;6;179;0;20.81333333;39;9;0;16.65234549;5;1;5;-0.266666667;-0.1
28;03;2018;280320181;5;175;0;20.728;39;9;0;16.62688562;1;4;0.25;-0.266666667;-0.1
28;04;2018;280420181;6;181;0;20.75;39;9;0;16.59506079;4;2;2;-0.266666667;-0.1
28;06;2018;280620181;4;181;1;17.9;39;9;0;16.5688053;1;4;0.25;-0.266666667;-0.1
28;07;2018;280720181;3;179;0;17.12333333;39;9;0;16.57198778;2;4;0.5;-0.266666667;-0.1
28;08;2018;280820181;5;181;0;21.862;39;9;0;16.57994399;;5;;-0.266666667;-0.1
28;10;2018;281020181;4;179;1;21.6425;39;9;0;16.63165935;;3;;-0.266666667;-0.1
30;02;2018;300220181;7;177;0;20.43714286;12;2;7;31.54079944;5;2;2.5;-0.266666667;-0.1
30;05;2018;300520181;5;179;0;24.328;12;2;7;31.75959519;3;2;1.5;-0.266666667;-0.1
31;03;2018;310320181;2;182;0;24.445;28;7;0;15.98959328;2;;;-0.266666667;-0.1
31;04;2018;310420181;4;180;0;24.4375;28;7;0;16.01982687;2;2;1;-0.266666667;-0.1
31;05;2018;310520181;5;176;0;24.388;28;7;0;16.03414805;1;5;0.2;-0.266666667;-0.1
31;07;2018;310720181;5;172;0;24.4;28;7;0;16.07074661;3;2;1.5;-0.266666667;-0.1
31;08;2018;310820181;4;184;0;23.1025;28;7;0;16.08825027;1;2;0.5;-0.266666667;-0.1
31;09;2018;310920181;4;180;0;23.2575;28;7;0;16.09620648;3;1;3;-0.266666667;-0.1
31;10;2018;311020181;4;178;0;21.955;28;7;0;16.09461524;1;3;0.333333333;-0.266666667;-0.1
32;02;2018;320220181;3;184;0;18.72666667;26;7;0;20.82696837;2;3;0.666666667;-0.266666667;-0.1
32;04;2018;320420182;3;184;0;25.02333333;26;7;0;20.88027497;3;1;3;-0.266666667;-0.1
32;05;2018;320520182;3;200;0;23.07666667;26;7;0;20.96063268;;2;;-0.266666667;-0.1
32;06;2018;320620181;3;176;0;22.36666667;26;7;0;20.98131882;;1;;-0.266666667;-0.1
32;07;2018;320720181;2;190;0;22.165;26;7;0;21.01712176;2;;;-0.266666667;-0.1
32;08;2018;320820181;6;180;0;22.61166667;26;7;0;21.09907071;3;3;1;-0.266666667;-0.1
32;10;2018;321020181;6;180;0;23.32833333;26;7;0;21.18340653;3;3;1;-0.266666667;-0.1
33;05;2018;330520181;3;176;0;23.96666667;3;2;2;17.51718541;;1;;-0.266666667;-0.1
34;04;2018;340420181;1;171;0;17.35;5;2;0;23.42307937;1;1;1;-0.266666667;-0.1
34;07;2018;340720182;4;193;0;21.245;5;2;0;23.52651009;1;3;0.333333333;-0.266666667;-0.1
35;02;2018;350220181;4;172;0;20.805;9;5;1;16.47412641;4;1;4;-0.266666667;-0.1
35;06;2018;350620181;5;176;0;22.66;9;5;1;16.40808987;2;3;0.666666667;-0.266666667;-0.1
36;01;2018;360120181;3;186;0;23.46333333;17;10;0;13.60113933;;3;;-0.266666667;-0.1
36;03;2018;360320181;5;180;0;17.944;17;10;0;13.48736554;3;2;1.5;-0.266666667;-0.1
36;06;2018;360620181;4;178;0;20.9;17;10;0;13.25345299;2;2;1;-0.266666667;-0.1
36;10;2018;361020181;5;172;0;23.624;17;10;0;13.07443829;3;2;1.5;-0.266666667;-0.1
37;02;2018;370220181;6;175;0;21.62;32;8;0;21.85650181;2;4;0.5;-0.266666667;-0.1
37;03;2018;370320181;5;185;0;23.008;32;8;0;21.87639234;3;2;1.5;-0.266666667;-0.1
37;04;2018;370420181;5;179;0;19.742;32;8;0;22.28534148;4;2;2;-0.266666667;-0.1
37;06;2018;370620181;2;175;0;22.34;32;8;0;22.3012539;4;1;4;-0.266666667;-0.1
37;07;2018;370720181;5;171;0;22.746;32;8;0;22.27658965;2;3;0.666666667;-0.266666667;-0.1
37;08;2018;370820181;3;175;0;23.02666667;32;8;0;22.3354656;3;1;3;-0.266666667;-0.1
37;10;2018;371020181;6;173;0;21.345;32;8;0;22.20100566;5;1;5;-0.266666667;-0.1
38;01;2018;380120181;6;179;0;21.79166667;44;9;0;28.04245433;4;3;1.333333333;-0.266666667;-0.1
38;02;2018;380220181;4;171;0;21.9525;44;9;0;28.12440328;1;3;0.333333333;-0.266666667;-0.1
38;03;2018;380320181;5;171;0;19.038;44;9;0;28.227834;2;3;0.666666667;-0.266666667;-0.1
38;04;2018;380420181;6;169;0;16.375;44;9;0;28.20396537;;6;;-0.266666667;-0.1
38;06;2018;380620181;6;171;0;21.57333333;44;9;0;28.06473172;4;2;2;-0.266666667;-0.1
38;07;2018;380720181;5;177;0;20.956;44;9;0;28.07984851;3;2;1.5;-0.266666667;-0.1
38;09;2018;380920181;6;177;1;15.585;44;9;0;28.10928649;4;2;2;-0.266666667;-0.1
38;10;2018;381020181;6;177;0;21.71;44;9;0;28.17134492;3;3;1;-0.266666667;-0.1
39;03;2018;390320181;4;179;0;20.605;7;4;2;36.64550315;;3;;-0.266666667;-0.1
39;10;2018;391020181;3;177;0;22.31666667;7;4;2;37.03137929;2;1;2;-0.266666667;-0.1
40;02;2018;400220181;5;182;0;19.604;23;5;2;22.05461142;1;4;0.25;-0.266666667;-0.1
40;03;2018;400320182;5;182;0;18.948;23;5;2;22.04824645;2;3;0.666666667;-0.266666667;-0.1
40;04;2018;400420181;6;178;0;20.55166667;23;5;2;22.0196041;3;3;1;-0.266666667;-0.1
40;10;2018;401020181;7;172;0;18.46857143;23;5;2;21.83740691;4;3;1.333333333;-0.266666667;-0.1
41;03;2018;410320181;6;175;0;22.755;12;;0;;3;3;1;-0.266666667;-0.1
41;09;2018;410920181;6;179;0;18.78833333;12;;0;;2;4;0.5;-0.266666667;-0.1
01;06;2004;10620042;5;201;0;;11;4;0;29.66552097;;;;-0.233333333;-0.15
01;07;2004;10720041;3;198;0;;11;4;0;29.64483483;;;;-0.233333333;-0.15
01;08;2004;10820041;3;195;0;;11;4;0;29.66313411;;;;-0.233333333;-0.15
02;02;2004;20220041;5;183;0;;15;8;2;28.6996372;;;;-0.233333333;-0.15
02;06;2004;20620041;2;189;0;;15;8;2;28.22942524;;;;-0.233333333;-0.15
02;09;2004;20920041;5;191;0;21.4;15;8;2;27.98198714;;;;-0.233333333;-0.15
02;10;2004;21020041;3;183;0;;15;8;2;27.90242505;;;;-0.233333333;-0.15
03;03;2004;30320041;6;183;0;;17;5;0;30.87088664;;;;-0.233333333;-0.15
03;05;2004;30520041;5;181;1;;17;5;0;31.15810579;1;;;-0.233333333;-0.15
03;06;2004;30620041;2;189;0;;17;5;0;31.19231748;;;;-0.233333333;-0.15
03;08;2004;30820041;4;189;0;;17;5;0;31.21539049;;;;-0.233333333;-0.15
04;01;2004;40120041;5;181;0;;21;6;2;31.00693781;;;;-0.233333333;-0.15
04;03;2004;40320041;1;171;0;;21;6;2;30.70460187;;;;-0.233333333;-0.15
04;04;2004;40420041;4;175;0;;21;6;2;30.16119279;;;;-0.233333333;-0.15
04;05;2004;40520041;6;181;0;;21;6;2;30.24791547;;;;-0.233333333;-0.15
04;07;2004;40720041;5;178;0;;21;6;2;30.49535357;;;;-0.233333333;-0.15
05;02;2004;50220042;1;198;0;;17;5;0;26.23957737;;;;-0.233333333;-0.15
05;03;2004;50320041;4;176;0;;17;5;0;26.21570874;;;;-0.233333333;-0.15
05;06;2004;50620041;7;178;0;;17;5;0;26.24594233;;;;-0.233333333;-0.15
05;10;2004;51020041;5;178;0;;17;5;0;26.09159188;;;;-0.233333333;-0.15
06;01;2004;60120041;4;194;0;;25;6;0;43.32155814;;;;-0.233333333;-0.15
06;04;2004;60420042;4;206;0;;25;6;0;43.08287187;;;;-0.233333333;-0.15
06;06;2004;60620041;6;184;1;;25;6;0;43.02797403;;1;;-0.233333333;-0.15
06;08;2004;60820041;5;184;0;;25;6;0;43.13936096;;;;-0.233333333;-0.15
06;09;2004;60920041;6;178;0;;25;6;0;43.15288651;;;;-0.233333333;-0.15
07;01;2004;70120041;4;177;0;;23;6;0;24.87110941;;;;-0.233333333;-0.15
