"","year","sampling_unit","sampling_unit_id","species","dist_colony","sdist_colony","lemmings","lemmingsHL","pa","inaccessible_nest_rlha"
"52",2017,"nesting_zone","48","cacg",2.50974417817123,0.365447036572562,0.248664461391466,"low",0,"NA"
"53",2017,"nesting_zone","50","cacg",13.5377049263089,1.97124240404387,0.248664461391466,"low",0,"NA"
"54",2017,"nesting_zone","54","cacg",17.7304706027982,2.58175633803082,0.248664461391466,"low",1,"NA"
"55",2017,"nesting_zone","56","cacg",18.0947161499596,2.63479459465978,0.248664461391466,"low",1,"NA"
"56",2017,"nesting_zone","57","cacg",18.1070645732274,2.63659266425142,0.248664461391466,"low",1,"NA"
"57",2017,"nesting_zone","58","cacg",18.7265591981799,2.72679806320426,0.248664461391466,"low",1,"NA"
"58",2017,"nesting_zone","61","cacg",20.7322973068161,3.01885613602181,0.248664461391466,"low",0,"NA"
"59",2018,"nesting_zone","1","cacg",15.8127063561467,2.30250825096312,0.0290023201856149,"low",0,"NA"
"60",2018,"nesting_zone","4","cacg",15.966842380984,2.32495219325644,0.0290023201856149,"low",1,"NA"
"61",2018,"nesting_zone","6","cacg",8.50217693629447,1.23801277947318,0.0290023201856149,"low",1,"NA"
"62",2018,"nesting_zone","7","cacg",8.54373616325601,1.24406427128156,0.0290023201856149,"low",0,"NA"
"63",2018,"nesting_zone","9","cacg",8.30787880262768,1.2097207815167,0.0290023201856149,"low",0,"NA"
"64",2018,"nesting_zone","10","cacg",8.25991418335996,1.20273659240126,0.0290023201856149,"low",0,"NA"
"65",2018,"nesting_zone","12","cacg",3.44684286589085,0.501899166387924,0.0290023201856149,"low",1,"NA"
"66",2018,"nesting_zone","13","cacg",3.44448496311413,0.50155582917062,0.0290023201856149,"low",1,"NA"
"67",2018,"nesting_zone","15","cacg",2.89711277248248,0.421852269457882,0.0290023201856149,"low",0,"NA"
"68",2018,"nesting_zone","16","cacg",3.64023950084976,0.530059895972857,0.0290023201856149,"low",1,"NA"
"69",2018,"nesting_zone","17","cacg",2.8842819941758,0.419983963536554,0.0290023201856149,"low",1,"NA"
"70",2018,"nesting_zone","21","cacg",3.55075232255257,0.517029554313183,0.0290023201856149,"low",1,"NA"
"71",2018,"nesting_zone","22","cacg",3.74372944543363,0.545129198211778,0.0290023201856149,"low",1,"NA"
"72",2018,"nesting_zone","23","cacg",3.53131640059047,0.514199465037199,0.0290023201856149,"low",1,"NA"
"73",2018,"nesting_zone","24","cacg",3.44061272828255,0.50099198813996,0.0290023201856149,"low",1,"NA"
"74",2018,"nesting_zone","25","cacg",2.62861013963819,0.38275526015378,0.0290023201856149,"low",0,"NA"
"75",2018,"nesting_zone","26","cacg",3.65988086253003,0.532919899587064,0.0290023201856149,"low",0,"NA"
"76",2018,"nesting_zone","27","cacg",4.01869234513571,0.585166895176073,0.0290023201856149,"low",0,"NA"
"77",2018,"nesting_zone","28","cacg",3.87442347646341,0.564159722020925,0.0290023201856149,"low",1,"NA"
"78",2018,"nesting_zone","29","cacg",3.29550323694177,0.47986241085066,0.0290023201856149,"low",1,"NA"
"79",2018,"nesting_zone","30","cacg",3.01372267454737,0.438831985364896,0.0290023201856149,"low",0,"NA"
"80",2018,"nesting_zone","32","cacg",3.16954767216352,0.461521861129144,0.0290023201856149,"low",0,"NA"
"81",2018,"nesting_zone","33","cacg",4.54423721516435,0.661692151020207,0.0290023201856149,"low",1,"NA"
"82",2018,"nesting_zone","35","cacg",4.72718414395854,0.688331285621808,0.0290023201856149,"low",1,"NA"
"83",2018,"nesting_zone","37","cacg",4.67720554563598,0.681053838458911,0.0290023201856149,"low",0,"NA"
"84",2018,"nesting_zone","38","cacg",3.10241839134686,0.451747081310919,0.0290023201856149,"low",1,"NA"
"85",2018,"nesting_zone","42","cacg",3.17826355019892,0.462790991197008,0.0290023201856149,"low",1,"NA"
"86",2018,"nesting_zone","43","cacg",4.71532609381901,0.686604619884036,0.0290023201856149,"low",1,"NA"
"87",2018,"nesting_zone","45","cacg",3.89946108155793,0.56780547949065,0.0290023201856149,"low",1,"NA"
"88",2018,"nesting_zone","46","cacg",3.58332618060984,0.521772675146096,0.0290023201856149,"low",1,"NA"
"89",2018,"nesting_zone","47","cacg",1.37475747567386,0.200180181653841,0.0290023201856149,"low",0,"NA"
"90",2018,"nesting_zone","48","cacg",2.74027809838435,0.39901537341904,0.0290023201856149,"low",0,"NA"
"91",2018,"nesting_zone","50","cacg",13.8825517563709,2.02145598884414,0.0290023201856149,"low",0,"NA"
"92",2018,"nesting_zone","54","cacg",18.0628405908576,2.63015315402442,0.0290023201856149,"low",1,"NA"
"93",2018,"nesting_zone","55","cacg",18.2568919728174,2.65840922215153,0.0290023201856149,"low",0,"NA"
"94",2018,"nesting_zone","56","cacg",18.4249453465398,2.68287968728779,0.0290023201856149,"low",1,"NA"
"95",2018,"nesting_zone","57","cacg",18.4325927199957,2.68399323104708,0.0290023201856149,"low",1,"NA"
"96",2018,"nesting_zone","58","cacg",19.0512167481568,2.77407186129568,0.0290023201856149,"low",1,"NA"
"97",2018,"nesting_zone","59","cacg",19.1479985606976,2.78816438391005,0.0290023201856149,"low",1,"NA"
"98",2018,"nesting_zone","60","cacg",20.7406024421782,3.02006545732747,0.0290023201856149,"low",1,"NA"
"99",2018,"nesting_zone","61","cacg",20.9388796396574,3.04893685181816,0.0290023201856149,"low",0,"NA"
"100",2019,"nesting_zone","1","cacg",15.7995666964092,2.30059496842445,1.36694215534893,"high",1,"NA"
"101",2019,"nesting_zone","3","cacg",15.739198669434,2.29180470336329,1.36694215534893,"high",1,"NA"
"102",2019,"nesting_zone","4","cacg",15.9536586393614,2.3230324918985,1.36694215534893,"high",1,"NA"
"103",2019,"nesting_zone","6","cacg",8.49013825700859,1.23625981209605,1.36694215534893,"high",1,"NA"
"104",2019,"nesting_zone","7","cacg",8.53156895813936,1.24229258909502,1.36694215534893,"high",1,"NA"
"105",2019,"nesting_zone","8","cacg",8.4391938208726,1.22884172806275,1.36694215534893,"high",1,"NA"
"106",2019,"nesting_zone","9","cacg",8.29575914502912,1.20795602278464,1.36694215534893,"high",1,"NA"
"107",2019,"nesting_zone","10","cacg",8.24758449524431,1.20094125085892,1.36694215534893,"high",0,"NA"
"108",2019,"nesting_zone","12","cacg",3.44175974727397,0.501159007031747,1.36694215534893,"high",0,"NA"
"109",2019,"nesting_zone","13","cacg",3.44031249728128,0.500948271122642,1.36694215534893,"high",1,"NA"
"110",2019,"nesting_zone","15","cacg",2.89568347744771,0.421644147992998,1.36694215534893,"high",1,"NA"
"111",2019,"nesting_zone","16","cacg",3.64238343089187,0.530372076348579,1.36694215534893,"high",0,"NA"
"112",2019,"nesting_zone","17","cacg",2.88406216359245,0.419951953726179,1.36694215534893,"high",1,"NA"
"113",2019,"nesting_zone","19","cacg",3.51390935136291,0.511664802496287,1.36694215534893,"high",1,"NA"
"114",2019,"nesting_zone","21","cacg",3.55601026346322,0.51779516976554,1.36694215534893,"high",1,"NA"
"115",2019,"nesting_zone","22","cacg",3.74958605872912,0.545981987110265,1.36694215534893,"high",0,"NA"
"116",2019,"nesting_zone","23","cacg",3.53712384675332,0.515045094647072,1.36694215534893,"high",1,"NA"
"117",2019,"nesting_zone","24","cacg",3.44605801375803,0.501784883072286,1.36694215534893,"high",1,"NA"
"118",2019,"nesting_zone","25","cacg",2.63277712992113,0.383362020899984,1.36694215534893,"high",0,"NA"
"119",2019,"nesting_zone","26","cacg",3.66632585496377,0.533858363118976,1.36694215534893,"high",1,"NA"
"120",2019,"nesting_zone","27","cacg",4.02575518378302,0.586195324079663,1.36694215534893,"high",1,"NA"
"121",2019,"nesting_zone","28","cacg",3.88147491494701,0.565186490932202,1.36694215534893,"high",1,"NA"
"122",2019,"nesting_zone","29","cacg",3.30204130088838,0.48081442664374,1.36694215534893,"high",1,"NA"
"123",2019,"nesting_zone","30","cacg",3.0197717826213,0.439712803672496,1.36694215534893,"high",0,"NA"
"124",2019,"nesting_zone","32","cacg",3.1765861770391,0.462546746761335,1.36694215534893,"high",0,"NA"
"125",2019,"nesting_zone","33","cacg",4.55277348408873,0.662935127977354,1.36694215534893,"high",1,"NA"
"126",2019,"nesting_zone","35","cacg",4.73645836786383,0.689681717140756,1.36694215534893,"high",1,"NA"
"127",2019,"nesting_zone","36","cacg",4.49469664666883,0.65447848593662,1.36694215534893,"high",1,"NA"
"128",2019,"nesting_zone","37","cacg",4.68706340621887,0.682489254055566,1.36694215534893,"high",0,"NA"
"129",2019,"nesting_zone","38","cacg",3.11314015804237,0.453308291373592,1.36694215534893,"high",1,"NA"
"130",2019,"nesting_zone","41","cacg",4.48260304282281,0.652717520924548,1.36694215534893,"high",1,"NA"
"131",2019,"nesting_zone","42","cacg",3.18968721371212,0.46445440534655,1.36694215534893,"high",1,"NA"
"132",2019,"nesting_zone","43","cacg",4.72653513441933,0.688236782518713,1.36694215534893,"high",1,"NA"
"133",2019,"nesting_zone","44","cacg",3.6543028339529,0.532107675763154,1.36694215534893,"high",1,"NA"
"134",2019,"nesting_zone","45","cacg",3.91158271732799,0.569570526266775,1.36694215534893,"high",1,"NA"
"135",2019,"nesting_zone","46","cacg",3.59573773560117,0.52357993742816,1.36694215534893,"high",1,"NA"
"136",2019,"nesting_zone","47","cacg",1.3837978494694,0.201496561961374,1.36694215534893,"high",0,"NA"
"137",2019,"nesting_zone","48","cacg",2.75241846739852,0.400783147966627,1.36694215534893,"high",0,"NA"
"138",2019,"nesting_zone","50","cacg",13.895573356529,2.02335208057756,1.36694215534893,"high",0,"NA"
"139",2019,"nesting_zone","52","cacg",16.2493498130722,2.36608845916127,1.36694215534893,"high",1,"NA"
"140",2019,"nesting_zone","53","cacg",17.185463672425,2.50239718686764,1.36694215534893,"high",1,"NA"
"141",2019,"nesting_zone","54","cacg",18.0757250243332,2.63202927274302,1.36694215534893,"high",1,"NA"
"142",2019,"nesting_zone","55","cacg",18.2697286194738,2.66027838257071,1.36694215534893,"high",1,"NA"
"143",2019,"nesting_zone","56","cacg",18.4378067967153,2.68475245937888,1.36694215534893,"high",1,"NA"
"144",2019,"nesting_zone","57","cacg",18.4454051503637,2.68585886530176,1.36694215534893,"high",1,"NA"
"145",2019,"nesting_zone","58","cacg",19.0640181882362,2.77593589524048,1.36694215534893,"high",1,"NA"
"146",2019,"nesting_zone","59","cacg",19.1607212768496,2.79001695476382,1.36694215534893,"high",1,"NA"
"147",2019,"nesting_zone","60","cacg",20.7532414270721,3.02190583596643,1.36694215534893,"high",0,"NA"
"148",2019,"nesting_zone","61","cacg",20.9501290962495,3.05057489947672,1.36694215534893,"high",1,"NA"
"149",2019,"nesting_zone","62","cacg",20.7102232250394,3.01564190094538,1.36694215534893,"high",0,"NA"
"150",2019,"nesting_zone","63","cacg",4.3797820846106,0.637745630640662,1.36694215534893,"high",0,"NA"
"151",2019,"nesting_zone","64","cacg",3.44082816544449,0.501023358218665,1.36694215534893,"high",0,"NA"
"152",2019,"nesting_zone","65","cacg",9.68435102829065,1.41015065009379,1.36694215534893,"high",0,"NA"
"153",2019,"nesting_zone","66","cacg",11.8378073905565,1.72371816539004,1.36694215534893,"high",0,"NA"
"154",2019,"nesting_zone","67","cacg",13.6931065159091,1.99387062682928,1.36694215534893,"high",0,"NA"
"155",2015,"nesting_zone","1","crpl",1.93251384700676,0.281395795103973,2.4595,"high",1,"NA"
"156",2015,"nesting_zone","2","crpl",2.04406198394774,0.297638460964035,2.4595,"high",1,"NA"
"157",2015,"nesting_zone","3","crpl",2.01579438483483,0.293522379963954,2.4595,"high",0,"NA"
"158",2015,"nesting_zone","4","crpl",8.71831842197345,1.26948541565211,2.4595,"high",1,"NA"
"159",2015,"nesting_zone","5","crpl",9.04605872673425,1.31720809758199,2.4595,"high",1,"NA"
"160",2015,"nesting_zone","6","crpl",2.39445045193026,0.348658970698504,2.4595,"high",0,"NA"
"161",2015,"nesting_zone","7","crpl",2.89713309846053,0.421855229149355,2.4595,"high",1,"NA"
"162",2015,"nesting_zone","8","crpl",3.36122613378241,0.489432405312357,2.4595,"high",1,"NA"
"163",2015,"nesting_zone","9","crpl",21.2564008116966,3.09517151285653,2.4595,"high",0,"NA"
