RECNOCAR	TYPEID1	FAKETIME	JNDEP	RDDS12	RDDS34	CRRD12	CRRD34	DENS05	DENS620	DENSRGN	CR05	CR620	CRRGN	P_CUT05	P_CUT620	P_REGEN	P_CUT052	P_CUT6202	P_REGEN2	TOPOVAR	TOPOMOY	COLLIER3	DVAR12KM	DVAR34KM
1491	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26171875	603.012291	BO810_Calving_08	-0.248990575	0.282252418
1491	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.290100097	603.464953	BO810_Calving_08	0.035194579	-0.038053371
1491	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.081298828	604.723638	BO810_Calving_08	0.096703789	-0.124708049
1491	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.996582031	603.869761	BO810_Calving_08	0.174087185	-0.138084306
1491	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.540710449	603.069999	BO810_Calving_08	-0.011094945	0.037594298
1491	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603.343262	BO810_Calving_08	-0.001115371	0.003584884
1491	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80859375	602.887472	BO810_Calving_08	-0.091229456	0.131509823
1491	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.252563476	603.462512	BO810_Calving_08	0.009874858	-0.015998539
1491	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.364746094	603.555595	BO810_Calving_08	-0.001011293	-0.014569443
1742	1	1	N	0	0	0	1	0.802320289	0	0	1	0	0	0.025882019	0	0	0.000669879	0	0	40.96472168	554.076633	BO810_Calving_09	-0.207512968	-0.282568605
1742	0	2	N	0	0	0	0	0.802320289	0	0	0	0	0	0	0	0	0	0	0	11.61730957	582.625507	BO810_Calving_09	-0.240150102	0.219686566
1742	0	2	N	0	0	0	0	0.802320289	0	0	0	0	0	0	0	0	0	0	0	0.596130371	574.434669	BO810_Calving_09	0.933958503	-0.301113286
1742	0	2	N	0	0	0	0	0.802320289	0	0	0	0	0	0	0	0	0	0	0	0	579.984253	BO810_Calving_09	0.003804373	0.002825466
1742	0	2	N	0	0	0	0	0.802320289	0	0	0	0	0	0	0	0	0	0	0	18.03430176	573.448917	BO810_Calving_09	0.235193253	-0.099044178
1742	0	2	N	0	0	0	0	0.802320289	0	0	0	0	0	0	0	0	0	0	0	0.919555664	579.529737	BO810_Calving_09	-0.013768365	0.001107467
1742	0	2	N	0	0	0	0	0.802320289	0	0	0	0	0	0	0	0	0	0	0	-0.355834961	580.299582	BO810_Calving_09	0.045275248	0.002214651
1742	0	2	N	0	0	0	0	0.802320289	0	0	0	0	0	0	0	0	0	0	0	-0.006286621	579.989043	BO810_Calving_09	0.000810797	-0.005082241
1742	0	2	N	0	0	0	0	0.802320289	0	0	0	0	0	0	0	0	0	0	0	-0.325195312	580.111084	BO810_Calving_09	-0.000097052	-0.016337573
1742	0	2	N	0	0	0	0	0.802320289	0	0	0	0	0	0	0	0	0	0	0	0.404968262	579.6826	BO810_Calving_09	-0.021498795	-0.01324982
1742	0	2	N	0	0	0	0	0.802320289	0	0	0	0	0	0	0	0	0	0	0	1.95703125	578.993883	BO810_Calving_09	-0.012517995	0.023808009
