farm.ahy;nest.ahy;year.ahy;idbrood.ahy;idadult;exact_age;sex;ext5km.ahy;ext20km.ahy;density.ahy;comp.ahy;farm.hy;nest.hy;year.hy;idbrood.hy;ext5km.hy;ext20km.hy;density.hy;comp.hy;distance;d_fledgling;age_morpho;med_25km;mass
12;10;2007;121020071;188198761;2;F;24.08105786;25.54576684;9;0;06;05;2005;060520051;43.05979887;27.67025439;6;3;18091.20941;190;ASY;18091.20941;19.97
13;03;2007;130320071;192110497;1;F;26.66762141;23.23688717;5;0;13;05;2006;130520061;26.66762141;23.23688717;4;0;0;173;SY;12304.43984;24.86
14;04;2007;140420072;192110735;1;F;23.97921838;26.97873424;10;0;15;06;2006;150620061;22.75157533;26.58632913;10;0;3992.336771;177;ASY;15144.81953;22.87
14;07;2007;140720071;188198374;2;F;23.97921838;26.97873424;10;0;38;09;2005;380920051;28.18487047;26.72452375;9;0;7638.136141;179;ASY;11747.54628;16.3
15;09;2007;150920071;188198164;2;F;22.75157533;26.58632913;10;0;15;01;2005;150120051;22.75157533;26.58632913;10;0;0;177;ASY;15144.81953;19.5
16;07;2007;160720071;188198224;2;M;27.8586659;25.77212954;9;2;15;10;2005;151020051;22.75157533;26.58632913;10;0;6971.443593;173;ASY;15144.81953;22.89
20;03;2007;200320071;192110057;2;F;35.62074343;25.09890936;6;3;29;10;2005;291020051;37.67344536;23.04105758;9;2;7523.278199;191;SY;16428.40356;
20;08;2007;200820071;188197820;3;F;35.62074343;25.09890936;6;3;18;02;2004;180220042;12.40452549;20.34041927;4;0;20751.928;194;ASY;14411.11138;21.1
23;06;2007;230620071;188198691;2;F;32.18923048;22.92578764;10;0;22;02;2005;220220051;28.91127236;24.59745034;7;0;4781.509626;178;ASY;11396.95299;20.84
24;02;2007;240220071;192112142;1;F;16.25612628;17.43768561;8;0;18;09;2006;180920062;12.40452549;20.34041927;10;0;6929.252094;184;SY;14411.11138;22.92
27;10;2007;271020071;188197485;3;M;12.89064986;22.12297581;8;3;27;09;2004;270920041;12.89064986;22.12297581;7;1;0;177;ASY;13405.86285;21
28;05;2007;280520071;192110853;1;F;16.5879002;18.32399106;4;3;39;07;2006;390720061;36.74018204;25.87044216;10;0;16897.3541;176;ASY;14717.46666;22.82
33;03;2007;330320071;188198730;2;M;17.51718541;16.40965483;8;1;31;09;2005;310920051;16.03414805;15.65134972;6;1;2698.433256;183;ASY;15246.05796;23.9
37;01;2007;370120071;188198897;2;F;22.2630641;24.6210215;9;0;16;09;2005;160920051;27.8586659;25.77212954;6;2;6851.435839;183;SY;14797.66724;15.52
38;06;2007;380620071;188197440;3;F;28.18487047;26.72452375;9;0;15;02;2004;150220041;22.75157533;26.58632913;8;0;4278.064402;173;ASY;15144.81953;
07;08;2008;070820081;192112248;2;F;24.81939406;26.87201755;2;7;17;07;2006;170720061;20.97018013;22.42955008;5;5;14033.38037;181;ASY;17221.76638;20.95
12;07;2008;120720081;192110658;2;M;24.08105786;25.54576684;7;0;05;10;2006;051020061;26.19979632;30.6706542;10;0;20730.0789;177;ASY;18250.07972;22.35
20;04;2008;200420081;188198903;3;F;35.62074343;25.09890936;7;3;20;07;2005;200720051;35.62074343;25.09890936;9;2;0;183;ASY;16535.47537;20.29
23;07;2008;230720081;192112009;2;F;32.18923048;22.92578764;10;0;11;08;2006;110820061;29.97660875;31.27763644;8;0;15969.97452;177;ASY;12465.05281;21.25
26;10;2008;261020081;192110180;3;M;16.94831647;16.35798724;10;0;19;09;2005;190920051;24.98567882;22.25977805;5;2;37576.96592;193;SY;16407.35196;19.6
28;01;2008;280120083;192111069;2;M;16.5879002;18.32399106;8;3;20;04;2006;200420062;35.62074343;25.09890936;8;2;18065.56962;190;ASY;16535.47537;22.75
39;02;2008;390220081;192110860;2;M;36.74018204;25.87044216;6;2;39;08;2006;390820061;36.74018204;25.87044216;10;0;0;178;ASY;14717.46666;24.38
39;10;2008;391020081;192110864;2;M;36.74018204;25.87044216;6;2;39;10;2006;391020061;36.74018204;25.87044216;10;0;0;176;ASY;14717.46666;23.66
09;10;2009;091020091;188197573;5;M;22.46276494;19.33521372;8;0;03;05;2004;030520041;31.15810579;23.31237456;5;0;9141.240264;181;ASY;17308.10554;
17;01;2009;170120091;188197355;5;F;20.97018013;22.42955008;3;2;10;01;2004;100120041;24.67777353;18.78889987;3;0;12881.00689;189;ASY;19369.37372;21.4
30;05;2009;300520091;192110849;3;M;31.75959519;25.14172533;6;5;39;03;2006;390320061;36.74018204;25.87044216;10;0;5629.298094;180;ASY;14717.46666;24.21
36;02;2009;360220091;188198572;4;M;13.28686907;20.07487076;7;0;38;06;2005;380620051;28.18487047;26.72452375;9;0;22488.07764;183;ASY;11747.54628;
15;02;2010;150220101;192110290;4;M;22.75157533;26.58632913;9;0;38;04;2006;380420061;28.18487047;26.72452375;9;0;4278.064402;175;ASY;11747.54628;19.48
20;04;2010;200420101;192110787;4;F;35.62074343;25.09890936;7;3;24;02;2006;240220061;16.25612628;17.43768561;10;0;27644.77558;174;ASY;16295.68385;21.69
