idanimal	herd	year	dwin	ewin	x	y	cluster
2006003	1	2007	39056	39196	360934.9799	1040874.703	1
2006003	1	2008	39406	39556	431060.6505	1071027.943	1
2006004	1	2007	39051	39206	432550.2512	1264072.583	1
2006004	1	2008	39416	39556	402683.4537	1044715.721	1
2006004	1	2009	39766	39921	281436.3724	1186646.483	1
2006004	1	2010	40136	40286	400452.6229	1053284.255	1
2006005	1	2007	39051	39191	404714.5841	1128710.624	1
2006005	1	2008	39406	39556	421891.1432	1066616.933	1
2006005	1	2009	39781	39936	352608.3381	1240449.311	1
2006008	1	2007	39051	39191	372138.4828	1080144.524	1
2006008	1	2008	39446	39566	316206.5501	1315623.239	1
2006008	1	2009	39796	39926	377824.4246	1063386.264	1
2006009	2	2010	40128	40263	-518914.2802	1078045.778	1
2006009	2	2011	40523	40668	-428543.9285	1222030.302	1
2007022	1	2008	39433	39553	-607527.7276	977088.6664	2
2007022	1	2009	39798	39928	368360.8948	1071214.677	1
2007026	1	2008	39403	39553	386888.8334	1048281.641	1
2007026	1	2009	39773	39928	365713.142	1235805.276	1
2007027	1	2008	39413	39553	435395.1975	1064593.574	1
2007027	1	2009	39773	39943	347316.7176	1103827.317	1
2007028	1	2008	39403	39553	396409.8268	1042435.511	1
2007029	1	2008	39403	39568	13819.35362	1332622.646	3
2007029	1	2009	39773	39938	372133.764	1242715.309	1
2007030	1	2008	39410	39548	422517.5045	1057072.558	1
2007031	1	2008	39403	39553	381437.6448	1045899.572	1
2007032	1	2008	39453	39558	385510.4505	1232261.127	1
2007033	1	2008	39432	39563	-497418.2753	1243466.079	2
2007033	2	2009	39778	39913	-371304.1674	1046496.346	1
2007033	2	2010	40143	40273	-461565.5041	1023561.606	1
2007033	2	2011	40528	40656	-426550.6097	1249630.082	1
2007033	2	2012	40906	40986	-478126.1756	1186240.613	1
2007034	2	2008	39428	39568	-570749.6638	975769.2297	1
2007036	2	2008	39423	39553	-655661.0411	890838.2332	1
2007036	2	2012	40884	40979	-491724.361	1221583.386	1
2007037	2	2008	39438	39563	-478164.329	1064607.962	1
2007037	2	2009	39783	39938	-330836.1747	1072735.674	1
2007039	2	2008	39428	39563	-501518.5945	1241593.217	1
2007039	2	2009	39783	39923	-500833.9198	1193917.315	1
2007042	2	2008	39418	39563	-553621.6524	1197227.47	1
2007042	2	2009	39773	39938	-513562.0775	1168014.435	1
2007042	2	2012	40895	41000	-361825.6152	1239302.789	1
2007043	2	2008	39423	39558	-567720.0329	913161.869	1
2007043	2	2009	39783	39918	-402475.3456	1110440.603	1
2007046	2	2008	39428	39553	-579319.1896	837943.9462	1
2007046	2	2012	40880	41010	-248118.5658	1269093.05	1
2007047	2	2008	39428	39553	-532269.9284	800423.5496	1
2008015	1	2009	39778	39918	364049.2573	1102449.263	1
2008015	1	2010	40128	40278	358091.1057	1218993.462	1
2008015	1	2011	40493	40653	349890.994	1207396.741	1
2008016	1	2009	39778	39923	350787.2538	1220485.23	1
2008016	1	2012	40902	41042	440089.9197	1161748.176	1
2008017	1	2009	39763	39938	344494.4896	1238438.522	1
2008018	1	2009	39778	39938	238482.0418	1147136.918	1
2008018	1	2010	40128	40268	359049.5539	1253767.604	1
2008020	1	2009	39773	39938	369177.2681	1249614.321	1
2008021	1	2009	39788	39938	383656.1372	1244650.199	1
2008022	1	2009	39773	39938	366506.3961	1247787.139	1
2008022	1	2010	40138	40283	478816.0484	1103374.297	1
2008024	1	2009	39783	39938	341921.0462	1214429.329	1
2008025	1	2009	39773	39913	364222.6891	1235148.213	1
2008026	1	2009	39778	39923	282857.6439	1184752.489	1
2008027	1	2009	39773	39938	366230.6586	1230317.093	1
2008028	1	2009	39783	39958	376316.1551	1236127.653	1
2008029	1	2009	39783	39938	363193.3561	1225308.696	1
2008030	1	2009	39783	39938	384716.075	1233713.563	1
2008031	2	2009	39783	39938	-452929.433	1079977.846	1
2008031	2	2012	40869	40989	-276233.7933	1221997.222	1
2008032	2	2009	39783	39928	-356366.1678	1132439.048	1
2008033	2	2009	39783	39923	-399739.81	1118178.947	1
2008035	2	2009	39773	39938	-438710.3851	1116269.856	1
2008035	2	2012	40892	40999	-482246.5081	1200292.11	1
2008036	2	2009	39783	39938	-355070.2482	1052427.297	1
2008036	2	2010	40138	40268	-513012.8438	1049141.972	1
