ind	idanimal	herd	year	cluster	st_sep	st_oct	swe_sep	swe_oct	pcp_sep	pcp_oct	ndvi_jul	ndvi_aug	ndvi_sep	ndvi_oct
561	GR96008	1	1997	CEN	6.139084224	-0.989252255	0.143884851	5.332634337	4.103558633	1.847619459	0.291959305	0.374817118	0.318396272	0.158383724
561	GR96008	1	1998	LAB	5.452300751	-3.937163965	0.041492755	31.74536816	3.166779027	3.152511647	0.29345788	0.334076322	0.227460604	0.119133287
561	GR96008	1	1999	NW	7.123477563	-4.535513443	0.037803518	14.81439161	2.86271628	2.095279204	0.266909493	0.278953811	0.256458525	0.085224356
561	GR96008	1	2000	SW	3.851402718	-2.488970341	1.52941351	10.77770099	3.979324291	1.932088535	0.236120432	0.262527523	0.17497048	-0.008744625
561	GR96008	1	2001	SW	4.999096472	-0.986036874	0.082564502	12.89699788	2.773186681	3.464581349	0.343576038	0.321856743	0.294739205	0.067587718
561	GR96008	1	2002	LAB	5.624164753	-3.495398815	0.246971146	19.65869313	2.743032855	3.759173218	0.225272364	0.372734806	0.371529584	0.032152832
562	GR97005	1	1997	LAB	5.62972161	-1.122677563	0.63953072	7.244871586	3.298692493	1.920722148	0.295600184	0.374283911	0.266269444	0.149412197
562	GR97005	1	1998	LAB	6.726543575	-2.20667241	0.019175074	14.36086382	2.119343743	2.056263985	0.272491301	0.320912983	0.236763419	0.086245156
562	GR97005	1	1999	NW	7.388352111	-4.896773	0.021315556	17.61641826	2.632524522	1.983330977	0.286187377	0.274037104	0.213147203	0.059344115
563	GR97006	1	1997	LAB	5.599141815	-1.136058959	0.204261371	6.44540641	2.360402401	1.728764951	0.318622171	0.406383085	0.251477068	0.132518074
145	GR98003	1	1998	SW	6.422109335	-1.428702798	0.002749626	6.303587827	1.996630193	1.636935314	0.314334631	0.303765185	0.25381806	0.137053866
145	GR98003	1	1999	NW	7.030194219	-4.41372319	0.029471243	12.7648467	2.655125213	2.17885281	0.342278548	0.313967745	0.220019565	0.104801569
145	GR98003	2	2000	SHIFT	4.179923682	-1.407988479	0.906766779	12.09082313	3.485239613	2.566382029	0.260770906	0.302883143	0.157687851	0.023499528
145	GR98003	1	2001	SW	4.895668427	-1.167950922	0.129637258	12.48338161	2.8077497	3.476726478	0.375919771	0.338294128	0.251191401	0.031241078
145	GR98003	2	2002	SW	5.894226386	-3.527495644	0.402031572	17.21854228	3.746193423	2.928855536	0.209951028	0.359568903	0.323968215	0.046306489
145	GR98003	2	2003	SW	8.364994977	-2.517053	0.003982443	10.38516687	3.720905652	2.605702157	0.262586781	0.291948408	0.149326066	0.040228909
