SSMB2001	,	175179	125213	162224	330362	307315	174206	325373	194198
SSMB2002	,	163163	225249	166270	314334	323327	170192	313313	198202
SSMB2003	,	167167	213213	218224	314338	311319	158204	285377	198202
SSMB2004	,	167167	213213	218224	314338	311319	158204	285285	198202
SSMB2006	,	163175	213233	166236	290334	327331	204206	321365	186186
SSMB2007	,	175179	205225	278278	314354	295295	172172	289297	182198
SSMB2008	,	179199	169221	252252	318342	307347	174196	305309	198202
SSMB2009	,	175179	209233	162252	330346	311343	158204	329337	194202
SSMB2010	,	167191	169189	260264	314386	315315	174206	301377	186194
SSMB2011	,	167167	201225	270278	326366	315343	172192	313333	198202
SSMB2012	,	151163	201241	162162	342350	255327	174192	297333	186194
SSMB2013	,	167175	217241	162260	302370	315339	174174	329365	186198
SSMB2014	,	163179	185225	162214	338354	283299	158158	329373	190194
SSMB2015	,	167175	197221	248286	342350	339347	172192	305305	182198
SSMB2016	,	155179	177213	166270	318326	291327	174196	313313	198202
SSMB2018	,	191191	241245	166266	334374	295315	192204	281329	190190
SSMB2019	,	159191	169221	166274	334358	315315	158206	309329	190198
SSMB2020	,	167195	189225	174270	342366	339343	158172	309337	198202
SSMB2021	,	163191	197197	270294	310350	295323	172172	285321	194194
SSMB2022	,	159175	221233	244264	318326	267335	172204	285369	198198
SSMB2023	,	151167	169181	252274	318334	315375	170206	285313	182198
SSMB2024	,	167167	201205	252264	318322	319331	182188	277329	186194
SSMB2025	,	155167	213245	252266	334374	263307	204204	329345	190198
SSMB2026	,	155199	169213	256260	318342	307359	158192	309365	190198
SSMB2027	,	167175	181209	240252	346350	283291	192204	313345	182182
SSMB2028	,	167199	221237	162236	314358	299315	172204	289329	194198
SSMB2029	,	151191	185201	252274	310314	307327	172192	357377	174194
SSMB2030	,	167199	201229	244252	322338	319335	172188	369377	186186
SSMB2031	,	167191	213233	166174	334338	327339	158206	293337	194202
SSMB2032	,	163195	181233	214270	322358	315347	172174	301313	190190
SSMB2034	,	163191	169245	166260	310318	291295	192204	281313	190198
SSMB2035	,	155167	225225	166270	314334	315343	192206	281309	190198
SSMB2036	,	151167	117189	162278	290346	295315	172206	309317	194194
SSMB2037	,	159175	201205	270286	346350	283315	172174	325329	202206
SSMB2038	,	163175	213241	162252	346346	299307	174174	305329	198198
SSMB2039	,	167183	185209	264268	290330	275287	174174	305317	190194
SSMB2040	,	175199	197213	214256	294354	307327	172206	289293	182198
SSMB2041	,	159159	213213	274274	326354	335347	172204	301325	190194
SSMB2042	,	159163	205209	260290	282314	275319	170174	293369	194194
SSMB2043	,	163195	193205	242242	330358	303331	170204	341353	190190
SSMB2044	,	159191	169221	214274	334346	315315	158170	313329	190198
SSMB2045	,	167179	189197	162278	330334	283307	174192	333341	182190
SSMB2046	,	163191	221245	214270	318334	295315	172204	281317	194194
SSMB2047	,	167175	209225	270274	334346	303343	174192	297345	182182
SSMB2049	,	163167	193225	214240	290330	319327	204206	281357	170202
SSMB2050	,	151151	201249	158266	342354	315319	172174	305329	190198
SSMB2051	,	151163	229245	170282	334346	315327	200206	309365	186198
SSMB2052	,	167199	241245	174274	334354	307339	162188	293313	190198
SSMB2053	,	167199	181229	228244	298346	319335	172188	369377	186186
SSMB2054	,	175179	121205	162236	290314	295319	188204	309341	190194
SSMB2055	,	139147	189193	162260	334346	287311	158172	313325	194194
SSMB2056	,	155159	185209	166214	298338	283307	174204	329333	190206
